"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2023/01/01","00:00","1.967","-","2.73"
"2023/01/01","01:00","2.861","-","3.57"
"2023/01/01","02:00","3.732","-","4.44"
"2023/01/01","03:00","4.353","-","5.08"
"2023/01/01","04:00","4.509","-","5.24"
"2023/01/01","05:00","4.167","-","4.98"
"2023/01/01","06:00","3.509","-","4.24"
"2023/01/01","07:00","2.788","-","3.37"
"2023/01/01","08:00","2.222","-","2.76"
"2023/01/01","09:00","1.999","-","2.48"
"2023/01/01","10:00","2.262","-","2.73"
"2023/01/01","11:00","3.008","-","3.46"
"2023/01/01","12:00","4.057","-","4.43"
"2023/01/01","13:00","5.172","-","5.53"
"2023/01/01","14:00","6.143","-","6.48"
"2023/01/01","15:00","6.756","-","7.08"
"2023/01/01","16:00","6.786","-","7.06"
"2023/01/01","17:00","6.14","-","6.32"
"2023/01/01","18:00","4.964","-","5.1"
"2023/01/01","19:00","3.545","-","3.64"
"2023/01/01","20:00","2.155","-","2.4"
"2023/01/01","21:00","1.021","-","1.31"
"2023/01/01","22:00","0.351","-","0.63"
"2023/01/01","23:00","0.26","-","0.47"
"2023/01/02","00:00","0.701","-","0.83"
"2023/01/02","01:00","1.512","-","1.62"
"2023/01/02","02:00","2.53","-","2.71"
"2023/01/02","03:00","3.567","-","3.65"
"2023/01/02","04:00","4.363","-","4.47"
"2023/01/02","05:00","4.676","-","4.9"
"2023/01/02","06:00","4.465","-","4.79"
"2023/01/02","07:00","3.905","-","4.28"
"2023/01/02","08:00","3.247","-","3.57"
"2023/01/02","09:00","2.716","-","3.05"
"2023/01/02","10:00","2.526","-","2.71"
"2023/01/02","11:00","2.821","-","3.09"
"2023/01/02","12:00","3.576","-","3.69"
"2023/01/02","13:00","4.591","-","4.71"
"2023/01/02","14:00","5.629","-","5.88"
"2023/01/02","15:00","6.483","-","6.71"
"2023/01/02","16:00","6.932","-","7.32"
"2023/01/02","17:00","6.761","-","7.08"
"2023/01/02","18:00","5.915","-","6.27"
"2023/01/02","19:00","4.579","-","4.74"
"2023/01/02","20:00","3.054","-","3.24"
"2023/01/02","21:00","1.612","-","1.95"
"2023/01/02","22:00","0.483","-","0.94"
"2023/01/02","23:00","-0.132","-","0.32"
"2023/01/03","00:00","-0.134","-","0.13"
"2023/01/03","01:00","0.407","-","0.71"
"2023/01/03","02:00","1.335","-","1.78"
"2023/01/03","03:00","2.489","-","2.85"
"2023/01/03","04:00","3.663","-","3.96"
"2023/01/03","05:00","4.561","-","4.85"
"2023/01/03","06:00","4.935","-","5.3"
"2023/01/03","07:00","4.757","-","5.3"
"2023/01/03","08:00","4.216","-","4.78"
"2023/01/03","09:00","3.572","-","4.08"
"2023/01/03","10:00","3.065","-","3.57"
"2023/01/03","11:00","2.919","-","3.24"
"2023/01/03","12:00","3.267","-","3.5"
"2023/01/03","13:00","4.048","-","4.19"
"2023/01/03","14:00","5.038","-","5.12"
"2023/01/03","15:00","5.998","-","6.22"
"2023/01/03","16:00","6.719","-","6.95"
"2023/01/03","17:00","6.978","-","7.41"
"2023/01/03","18:00","6.581","-","6.85"
"2023/01/03","19:00","5.528","-","5.88"
"2023/01/03","20:00","4.05","-","4.33"
"2023/01/03","21:00","2.466","-","2.74"
"2023/01/03","22:00","1.044","-","1.39"
"2023/01/03","23:00","0.005","-","0.44"
"2023/01/04","00:00","-0.47","-","-0.08"
"2023/01/04","01:00","-0.315","-","0.04"
"2023/01/04","02:00","0.373","-","0.68"
"2023/01/04","03:00","1.434","-","1.77"
"2023/01/04","04:00","2.703","-","3.05"
"2023/01/04","05:00","3.948","-","4.17"
"2023/01/04","06:00","4.854","-","5.06"
"2023/01/04","07:00","5.187","-","5.53"
"2023/01/04","08:00","4.956","-","5.51"
"2023/01/04","09:00","4.381","-","4.93"
"2023/01/04","10:00","3.734","-","4.23"
"2023/01/04","11:00","3.263","-","3.71"
"2023/01/04","12:00","3.189","-","3.6"
"2023/01/04","13:00","3.615","-","3.96"
"2023/01/04","14:00","4.437","-","4.75"
"2023/01/04","15:00","5.407","-","5.83"
"2023/01/04","16:00","6.281","-","6.83"
"2023/01/04","17:00","6.848","-","7.68"
"2023/01/04","18:00","6.889","-","7.73"
"2023/01/04","19:00","6.25","-","6.94"
"2023/01/04","20:00","4.999","-","5.67"
"2023/01/04","21:00","3.418","-","4.14"
"2023/01/04","22:00","1.837","-","2.64"
"2023/01/04","23:00","0.511","-","1.53"
"2023/01/05","00:00","-0.36","-","0.76"
"2023/01/05","01:00","-0.628","-","0.65"
"2023/01/05","02:00","-0.273","-","0.93"
"2023/01/05","03:00","0.58","-","2.15"
"2023/01/05","04:00","1.762","-","3.31"
"2023/01/05","05:00","3.095","-","4.4"
"2023/01/05","06:00","4.328","-","5.43"
"2023/01/05","07:00","5.143","-","6.23"
"2023/01/05","08:00","5.347","-","6.61"
"2023/01/05","09:00","5.007","-","6.43"
"2023/01/05","10:00","4.378","-","5.66"
"2023/01/05","11:00","3.737","-","5.03"
"2023/01/05","12:00","3.333","-","4.63"
"2023/01/05","13:00","3.365","-","4.55"
"2023/01/05","14:00","3.893","-","5.07"
"2023/01/05","15:00","4.764","-","5.96"
"2023/01/05","16:00","5.71","-","6.94"
"2023/01/05","17:00","6.482","-","7.89"
"2023/01/05","18:00","6.87","-","8.36"
"2023/01/05","19:00","6.67","-","8.08"
"2023/01/05","20:00","5.787","-","7.11"
"2023/01/05","21:00","4.363","-","5.49"
"2023/01/05","22:00","2.731","-","3.84"
"2023/01/05","23:00","1.22","-","2.35"
"2023/01/06","00:00","0.059","-","1.23"
"2023/01/06","01:00","-0.583","-","0.5"
"2023/01/06","02:00","-0.602","-","0.22"
"2023/01/06","03:00","-0.029","-","0.68"
"2023/01/06","04:00","0.982","-","1.6"
"2023/01/06","05:00","2.247","-","2.82"
"2023/01/06","06:00","3.578","-","3.9"
"2023/01/06","07:00","4.711","-","5.03"
"2023/01/06","08:00","5.35","-","5.63"
"2023/01/06","09:00","5.366","-","5.68"
"2023/01/06","10:00","4.895","-","5.27"
"2023/01/06","11:00","4.221","-","4.6"
"2023/01/06","12:00","3.62","-","3.95"
"2023/01/06","13:00","3.321","-","3.76"
"2023/01/06","14:00","3.49","-","3.85"
"2023/01/06","15:00","4.134","-","4.48"
"2023/01/06","16:00","5.053","-","5.27"
"2023/01/06","17:00","5.959","-","6.31"
"2023/01/06","18:00","6.604","-","7.04"
"2023/01/06","19:00","6.785","-","7.42"
"2023/01/06","20:00","6.329","-","6.86"
"2023/01/06","21:00","5.213","-","5.72"
"2023/01/06","22:00","3.658","-","4.03"
"2023/01/06","23:00","2.035","-","2.34"
"2023/01/07","00:00","0.659","-","1.11"
"2023/01/07","01:00","-0.278","-","0.16"
"2023/01/07","02:00","-0.65","-","-0.19"
"2023/01/07","03:00","-0.401","-","-0.09"
"2023/01/07","04:00","0.386","-","0.63"
"2023/01/07","05:00","1.524","-","1.85"
"2023/01/07","06:00","2.82","-","3.15"
"2023/01/07","07:00","4.075","-","4.31"
"2023/01/07","08:00","5.027","-","5.28"
"2023/01/07","09:00","5.429","-","5.77"
"2023/01/07","10:00","5.231","-","5.76"
"2023/01/07","11:00","4.639","-","5.12"
"2023/01/07","12:00","3.956","-","4.36"
"2023/01/07","13:00","3.437","-","3.95"
"2023/01/07","14:00","3.28","-","3.78"
"2023/01/07","15:00","3.606","-","4.2"
"2023/01/07","16:00","4.364","-","4.93"
"2023/01/07","17:00","5.312","-","5.9"
"2023/01/07","18:00","6.148","-","6.87"
"2023/01/07","19:00","6.633","-","7.51"
"2023/01/07","20:00","6.581","-","7.64"
"2023/01/07","21:00","5.868","-","6.79"
"2023/01/07","22:00","4.549","-","5.36"
"2023/01/07","23:00","2.922","-","3.72"
"2023/01/08","00:00","1.376","-","2.24"
"2023/01/08","01:00","0.195","-","1"
"2023/01/08","02:00","-0.475","-","0.23"
"2023/01/08","03:00","-0.553","-","0.11"
"2023/01/08","04:00","-0.038","-","0.74"
"2023/01/08","05:00","0.938","-","1.77"
"2023/01/08","06:00","2.159","-","3.12"
"2023/01/08","07:00","3.422","-","4.51"
"2023/01/08","08:00","4.528","-","5.6"
"2023/01/08","09:00","5.238","-","6.15"
"2023/01/08","10:00","5.37","-","6.25"
"2023/01/08","11:00","4.967","-","6.32"
"2023/01/08","12:00","4.292","-","5.59"
"2023/01/08","13:00","3.645","-","4.85"
"2023/01/08","14:00","3.248","-","4.2"
"2023/01/08","15:00","3.256","-","4.18"
"2023/01/08","16:00","3.738","-","4.48"
"2023/01/08","17:00","4.586","-","5.37"
"2023/01/08","18:00","5.523","-","6.2"
"2023/01/08","19:00","6.248","-","7.09"
"2023/01/08","20:00","6.539","-","7.45"
"2023/01/08","21:00","6.242","-","7.16"
"2023/01/08","22:00","5.292","-","5.99"
"2023/01/08","23:00","3.828","-","4.48"
"2023/01/09","00:00","2.204","-","2.77"
"2023/01/09","01:00","0.808","-","1.54"
"2023/01/09","02:00","-0.125","-","0.7"
"2023/01/09","03:00","-0.5","-","0.37"
"2023/01/09","04:00","-0.282","-","0.54"
"2023/01/09","05:00","0.477","-","1.27"
"2023/01/09","06:00","1.597","-","2.46"
"2023/01/09","07:00","2.84","-","3.66"
"2023/01/09","08:00","4.003","-","4.92"
"2023/01/09","09:00","4.9","-","5.9"
"2023/01/09","10:00","5.33","-","6.58"
"2023/01/09","11:00","5.194","-","6.36"
"2023/01/09","12:00","4.622","-","6.01"
"2023/01/09","13:00","3.914","-","5.46"
"2023/01/09","14:00","3.347","-","4.91"
"2023/01/09","15:00","3.097","-","4.71"
"2023/01/09","16:00","3.268","-","4.81"
"2023/01/09","17:00","3.878","-","5.29"
"2023/01/09","18:00","4.77","-","6.05"
"2023/01/09","19:00","5.645","-","6.78"
"2023/01/09","20:00","6.215","-","7.38"
"2023/01/09","21:00","6.292","-","7.36"
"2023/01/09","22:00","5.764","-","6.69"
"2023/01/09","23:00","4.632","-","5.46"
"2023/01/10","00:00","3.106","-","3.93"
"2023/01/10","01:00","1.575","-","2.57"
"2023/01/10","02:00","0.397","-","1.46"
"2023/01/10","03:00","-0.25","-","0.9"
"2023/01/10","04:00","-0.323","-","0.86"
"2023/01/10","05:00","0.169","-","1.25"
"2023/01/10","06:00","1.126","-","2.09"
"2023/01/10","07:00","2.328","-","3.25"
"2023/01/10","08:00","3.526","-","4.44"
"2023/01/10","09:00","4.528","-","5.49"
"2023/01/10","10:00","5.174","-","6.44"
