"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2024/01/01","00:00","4.604","-","5.24"
"2024/01/01","01:00","4.286","-","4.73"
"2024/01/01","02:00","3.64","-","3.84"
"2024/01/01","03:00","2.743","-","2.86"
"2024/01/01","04:00","1.766","-","1.91"
"2024/01/01","05:00","0.929","-","1.2"
"2024/01/01","06:00","0.391","-","0.66"
"2024/01/01","07:00","0.229","-","0.42"
"2024/01/01","08:00","0.514","-","0.76"
"2024/01/01","09:00","1.237","-","1.64"
"2024/01/01","10:00","2.197","-","2.67"
"2024/01/01","11:00","3.127","-","3.68"
"2024/01/01","12:00","3.85","-","4.43"
"2024/01/01","13:00","4.281","-","4.81"
"2024/01/01","14:00","4.381","-","4.91"
"2024/01/01","15:00","4.157","-","4.64"
"2024/01/01","16:00","3.7","-","4.17"
"2024/01/01","17:00","3.19","-","3.47"
"2024/01/01","18:00","2.791","-","2.96"
"2024/01/01","19:00","2.574","-","2.73"
"2024/01/01","20:00","2.604","-","3.01"
"2024/01/01","21:00","2.933","-","3.49"
"2024/01/01","22:00","3.459","-","4.09"
"2024/01/01","23:00","3.943","-","4.6"
"2024/01/02","00:00","4.206","-","4.83"
"2024/01/02","01:00","4.18","-","4.66"
"2024/01/02","02:00","3.852","-","4.13"
"2024/01/02","03:00","3.241","-","3.33"
"2024/01/02","04:00","2.435","-","2.41"
"2024/01/02","05:00","1.615","-","1.62"
"2024/01/02","06:00","0.982","-","0.95"
"2024/01/02","07:00","0.64","-","0.55"
"2024/01/02","08:00","0.643","-","0.57"
"2024/01/02","09:00","1.061","-","1.23"
"2024/01/02","10:00","1.848","-","2.09"
"2024/01/02","11:00","2.779","-","3.09"
"2024/01/02","12:00","3.61","-","4.02"
"2024/01/02","13:00","4.207","-","4.59"
"2024/01/02","14:00","4.503","-","4.86"
"2024/01/02","15:00","4.464","-","4.83"
"2024/01/02","16:00","4.116","-","4.49"
"2024/01/02","17:00","3.578","-","3.89"
"2024/01/02","18:00","3.032","-","3.19"
"2024/01/02","19:00","2.609","-","2.68"
"2024/01/02","20:00","2.366","-","2.54"
"2024/01/02","21:00","2.382","-","2.69"
"2024/01/02","22:00","2.696","-","3.13"
"2024/01/02","23:00","3.175","-","3.74"
"2024/01/03","00:00","3.594","-","4.18"
"2024/01/03","01:00","3.816","-","4.56"
"2024/01/03","02:00","3.788","-","4.42"
"2024/01/03","03:00","3.49","-","4.05"
"2024/01/03","04:00","2.949","-","3.34"
"2024/01/03","05:00","2.268","-","2.56"
"2024/01/03","06:00","1.622","-","1.83"
"2024/01/03","07:00","1.17","-","1.45"
"2024/01/03","08:00","0.987","-","1.26"
"2024/01/03","09:00","1.126","-","1.53"
"2024/01/03","10:00","1.642","-","2.11"
"2024/01/03","11:00","2.454","-","3.01"
"2024/01/03","12:00","3.33","-","3.89"
"2024/01/03","13:00","4.061","-","4.58"
"2024/01/03","14:00","4.535","-","5.04"
"2024/01/03","15:00","4.689","-","5.14"
"2024/01/03","16:00","4.502","-","4.95"
"2024/01/03","17:00","4.03","-","4.44"
"2024/01/03","18:00","3.407","-","3.68"
"2024/01/03","19:00","2.802","-","2.97"
"2024/01/03","20:00","2.328","-","2.47"
"2024/01/03","21:00","2.051","-","2.27"
"2024/01/03","22:00","2.056","-","2.22"
"2024/01/03","23:00","2.362","-","2.54"
"2024/01/04","00:00","2.82","-","2.97"
"2024/01/04","01:00","3.229","-","3.47"
"2024/01/04","02:00","3.467","-","3.68"
"2024/01/04","03:00","3.478","-","3.68"
"2024/01/04","04:00","3.242","-","3.26"
"2024/01/04","05:00","2.8","-","2.66"
"2024/01/04","06:00","2.255","-","1.98"
"2024/01/04","07:00","1.761","-","1.49"
"2024/01/04","08:00","1.452","-","1.2"
"2024/01/04","09:00","1.392","-","1.16"
"2024/01/04","10:00","1.632","-","1.55"
"2024/01/04","11:00","2.209","-","2.17"
"2024/01/04","12:00","3.02","-","3.07"
"2024/01/04","13:00","3.839","-","3.83"
"2024/01/04","14:00","4.476","-","4.42"
"2024/01/04","15:00","4.822","-","4.79"
"2024/01/04","16:00","4.826","-","4.79"
"2024/01/04","17:00","4.494","-","4.5"
"2024/01/04","18:00","3.897","-","3.84"
"2024/01/04","19:00","3.17","-","3.03"
"2024/01/04","20:00","2.48","-","2.24"
"2024/01/04","21:00","1.945","-","1.69"
"2024/01/04","22:00","1.639","-","1.39"
"2024/01/04","23:00","1.646","-","1.32"
"2024/01/05","00:00","1.971","-","1.63"
"2024/01/05","01:00","2.459","-","2.19"
"2024/01/05","02:00","2.914","-","2.7"
"2024/01/05","03:00","3.209","-","3.14"
"2024/01/05","04:00","3.286","-","3.29"
"2024/01/05","05:00","3.138","-","3.11"
"2024/01/05","06:00","2.803","-","2.71"
"2024/01/05","07:00","2.369","-","2.21"
"2024/01/05","08:00","1.985","-","1.81"
"2024/01/05","09:00","1.778","-","1.63"
"2024/01/05","10:00","1.803","-","1.8"
"2024/01/05","11:00","2.109","-","2.22"
"2024/01/05","12:00","2.724","-","2.88"
