"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2024/01/01","00:00","4.216","-","4.75"
"2024/01/01","01:00","3.962","-","4.43"
"2024/01/01","02:00","3.385","-","3.77"
"2024/01/01","03:00","2.547","-","2.83"
"2024/01/01","04:00","1.606","-","1.95"
"2024/01/01","05:00","0.782","-","1.28"
"2024/01/01","06:00","0.233","-","0.71"
"2024/01/01","07:00","-0.007","-","0.32"
"2024/01/01","08:00","0.079","-","0.23"
"2024/01/01","09:00","0.555","-","0.74"
"2024/01/01","10:00","1.376","-","1.76"
"2024/01/01","11:00","2.293","-","2.81"
"2024/01/01","12:00","3.067","-","3.6"
"2024/01/01","13:00","3.617","-","4.07"
"2024/01/01","14:00","3.888","-","4.27"
"2024/01/01","15:00","3.792","-","4.24"
"2024/01/01","16:00","3.341","-","3.86"
"2024/01/01","17:00","2.714","-","3.23"
"2024/01/01","18:00","2.153","-","2.65"
"2024/01/01","19:00","1.814","-","2.33"
"2024/01/01","20:00","1.754","-","2.41"
"2024/01/01","21:00","2.026","-","2.78"
"2024/01/01","22:00","2.609","-","3.35"
"2024/01/01","23:00","3.268","-","3.92"
"2024/01/02","00:00","3.692","-","4.25"
"2024/01/02","01:00","3.761","-","4.21"
"2024/01/02","02:00","3.507","-","3.86"
"2024/01/02","03:00","2.958","-","3.19"
"2024/01/02","04:00","2.165","-","2.36"
"2024/01/02","05:00","1.299","-","1.58"
"2024/01/02","06:00","0.592","-","0.97"
"2024/01/02","07:00","0.198","-","0.48"
"2024/01/02","08:00","0.136","-","0.25"
"2024/01/02","09:00","0.406","-","0.48"
"2024/01/02","10:00","1.034","-","1.21"
"2024/01/02","11:00","1.913","-","2.23"
"2024/01/02","12:00","2.771","-","3.14"
"2024/01/02","13:00","3.411","-","3.79"
"2024/01/02","14:00","3.799","-","4.13"
"2024/01/02","15:00","3.9","-","4.28"
"2024/01/02","16:00","3.655","-","4.14"
"2024/01/02","17:00","3.108","-","3.65"
"2024/01/02","18:00","2.454","-","2.96"
"2024/01/02","19:00","1.911","-","2.38"
"2024/01/02","20:00","1.59","-","2.1"
"2024/01/02","21:00","1.526","-","2.13"
"2024/01/02","22:00","1.769","-","2.44"
"2024/01/02","23:00","2.295","-","2.95"
"2024/01/03","00:00","2.874","-","3.51"
"2024/01/03","01:00","3.241","-","3.91"
"2024/01/03","02:00","3.318","-","3.99"
"2024/01/03","03:00","3.124","-","3.7"
"2024/01/03","04:00","2.65","-","3.2"
"2024/01/03","05:00","1.941","-","2.42"
"2024/01/03","06:00","1.18","-","1.71"
"2024/01/03","07:00","0.607","-","1.22"
"2024/01/03","08:00","0.364","-","0.95"
"2024/01/03","09:00","0.454","-","0.95"
"2024/01/03","10:00","0.865","-","1.34"
"2024/01/03","11:00","1.593","-","2.17"
"2024/01/03","12:00","2.481","-","3.06"
"2024/01/03","13:00","3.251","-","3.8"
"2024/01/03","14:00","3.751","-","4.3"
"2024/01/03","15:00","3.981","-","4.55"
"2024/01/03","16:00","3.924","-","4.55"
"2024/01/03","17:00","3.544","-","4.18"
"2024/01/03","18:00","2.917","-","3.51"
"2024/01/03","19:00","2.242","-","2.82"
"2024/01/03","20:00","1.703","-","2.28"
"2024/01/03","21:00","1.369","-","1.95"
"2024/01/03","22:00","1.264","-","1.78"
"2024/01/03","23:00","1.454","-","1.9"
"2024/01/04","00:00","1.921","-","2.27"
"2024/01/04","01:00","2.45","-","2.78"
"2024/01/04","02:00","2.818","-","3.14"
"2024/01/04","03:00","2.967","-","3.24"
"2024/01/04","04:00","2.882","-","2.95"
"2024/01/04","05:00","2.517","-","2.39"
"2024/01/04","06:00","1.912","-","1.77"
"2024/01/04","07:00","1.265","-","1.21"
"2024/01/04","08:00","0.82","-","0.83"
"2024/01/04","09:00","0.702","-","0.72"
"2024/01/04","10:00","0.903","-","0.86"
"2024/01/04","11:00","1.412","-","1.43"
"2024/01/04","12:00","2.196","-","2.26"
"2024/01/04","13:00","3.06","-","3.06"
"2024/01/04","14:00","3.729","-","3.69"
"2024/01/04","15:00","4.092","-","4.09"
"2024/01/04","16:00","4.174","-","4.31"
"2024/01/04","17:00","3.967","-","4.19"
"2024/01/04","18:00","3.462","-","3.69"
"2024/01/04","19:00","2.762","-","2.88"
"2024/01/04","20:00","2.061","-","2.13"
"2024/01/04","21:00","1.504","-","1.55"
"2024/01/04","22:00","1.128","-","1.17"
"2024/01/04","23:00","0.964","-","0.92"
"2024/01/05","00:00","1.104","-","1.02"
"2024/01/05","01:00","1.541","-","1.46"
"2024/01/05","02:00","2.07","-","2.07"
"2024/01/05","03:00","2.5","-","2.59"
"2024/01/05","04:00","2.77","-","2.8"
"2024/01/05","05:00","2.82","-","2.69"
"2024/01/05","06:00","2.571","-","2.36"
"2024/01/05","07:00","2.066","-","1.92"
"2024/01/05","08:00","1.52","-","1.48"
"2024/01/05","09:00","1.176","-","1.22"
"2024/01/05","10:00","1.147","-","1.2"
"2024/01/05","11:00","1.423","-","1.46"
"2024/01/05","12:00","1.995","-","2.08"
"2024/01/05","13:00","2.808","-","2.87"
"2024/01/05","14:00","3.63","-","3.57"
"2024/01/05","15:00","4.197","-","4.05"
"2024/01/05","16:00","4.431","-","4.36"
"2024/01/05","17:00","4.371","-","4.42"
"2024/01/05","18:00","4.019","-","4.13"
"2024/01/05","19:00","3.392","-","3.38"
"2024/01/05","20:00","2.618","-","2.52"
"2024/01/05","21:00","1.88","-","1.77"
"2024/01/05","22:00","1.289","-","1.14"
"2024/01/05","23:00","0.859","-","0.65"
"2024/01/06","00:00","0.643","-","0.34"
"2024/01/06","01:00","0.764","-","0.44"
"2024/01/06","02:00","1.216","-","0.97"
"2024/01/06","03:00","1.8","-","1.68"
"2024/01/06","04:00","2.34","-","2.32"
"2024/01/06","05:00","2.754","-","2.71"
"2024/01/06","06:00","2.935","-","2.78"
"2024/01/06","07:00","2.779","-","2.62"
"2024/01/06","08:00","2.346","-","2.31"
"2024/01/06","09:00","1.872","-","1.94"
"2024/01/06","10:00","1.598","-","1.72"
"2024/01/06","11:00","1.626","-","1.81"
"2024/01/06","12:00","1.949","-","2.21"
"2024/01/06","13:00","2.565","-","2.86"
"2024/01/06","14:00","3.393","-","3.6"
"2024/01/06","15:00","4.171","-","4.23"
"2024/01/06","16:00","4.642","-","4.65"
"2024/01/06","17:00","4.754","-","4.89"
"2024/01/06","18:00","4.556","-","4.85"
"2024/01/06","19:00","4.059","-","4.44"
"2024/01/06","20:00","3.31","-","3.63"
"2024/01/06","21:00","2.459","-","2.77"
"2024/01/06","22:00","1.68","-","2.02"
"2024/01/06","23:00","1.048","-","1.47"
"2024/01/07","00:00","0.571","-","0.95"
"2024/01/07","01:00","0.333","-","0.53"
"2024/01/07","02:00","0.48","-","0.54"
"2024/01/07","03:00","0.997","-","1.11"
"2024/01/07","04:00","1.68","-","1.93"
"2024/01/07","05:00","2.351","-","2.66"
"2024/01/07","06:00","2.899","-","3.07"
"2024/01/07","07:00","3.174","-","3.16"
"2024/01/07","08:00","3.068","-","3.02"
"2024/01/07","09:00","2.669","-","2.74"
"2024/01/07","10:00","2.234","-","2.36"
"2024/01/07","11:00","2.003","-","2.05"
"2024/01/07","12:00","2.065","-","2.05"
"2024/01/07","13:00","2.421","-","2.46"
"2024/01/07","14:00","3.077","-","3.15"
"2024/01/07","15:00","3.921","-","3.91"
"2024/01/07","16:00","4.659","-","4.53"
"2024/01/07","17:00","5.044","-","4.88"
"2024/01/07","18:00","5.044","-","5.01"
"2024/01/07","19:00","4.707","-","4.81"
"2024/01/07","20:00","4.064","-","4.11"
"2024/01/07","21:00","3.195","-","3.07"
"2024/01/07","22:00","2.272","-","2.14"
"2024/01/07","23:00","1.453","-","1.4"
"2024/01/08","00:00","0.787","-","0.76"
"2024/01/08","01:00","0.284","-","0.24"
"2024/01/08","02:00","0.064","-","-0.06"
"2024/01/08","03:00","0.286","-","0.11"
"2024/01/08","04:00","0.909","-","0.84"
"2024/01/08","05:00","1.713","-","1.8"
"2024/01/08","06:00","2.509","-","2.62"
"2024/01/08","07:00","3.151","-","3.12"
"2024/01/08","08:00","3.463","-","3.32"
"2024/01/08","09:00","3.355","-","3.26"
"2024/01/08","10:00","2.952","-","2.95"
"2024/01/08","11:00","2.531","-","2.5"
"2024/01/08","12:00","2.322","-","2.16"
"2024/01/08","13:00","2.405","-","2.2"
"2024/01/08","14:00","2.794","-","2.65"
"2024/01/08","15:00","3.496","-","3.39"
"2024/01/08","16:00","4.364","-","4.2"
"2024/01/08","17:00","5.074","-","4.82"
"2024/01/08","18:00","5.384","-","5.16"
"2024/01/08","19:00","5.276","-","5.19"
"2024/01/08","20:00","4.804","-","4.75"
"2024/01/08","21:00","4.019","-","3.8"
"2024/01/08","22:00","3.04","-","2.68"
"2024/01/08","23:00","2.054","-","1.76"
"2024/01/09","00:00","1.202","-","1.09"
"2024/01/09","01:00","0.513","-","0.45"
"2024/01/09","02:00","0.012","-","-0.13"
"2024/01/09","03:00","-0.145","-","-0.44"
"2024/01/09","04:00","0.196","-","-0.14"
"2024/01/09","05:00","0.953","-","0.81"
"2024/01/09","06:00","1.877","-","1.94"
"2024/01/09","07:00","2.763","-","2.8"
"2024/01/09","08:00","3.44","-","3.31"
"2024/01/09","09:00","3.727","-","3.47"
"2024/01/09","10:00","3.568","-","3.37"
"2024/01/09","11:00","3.132","-","2.98"
"2024/01/09","12:00","2.707","-","2.48"
"2024/01/09","13:00","2.507","-","2.19"
"2024/01/09","14:00","2.605","-","2.33"
"2024/01/09","15:00","3.034","-","2.95"
"2024/01/09","16:00","3.797","-","3.83"
"2024/01/09","17:00","4.704","-","4.65"
"2024/01/09","18:00","5.396","-","5.24"
"2024/01/09","19:00","5.642","-","5.49"
"2024/01/09","20:00","5.433","-","5.47"
"2024/01/09","21:00","4.831","-","4.91"
"2024/01/09","22:00","3.916","-","3.8"
"2024/01/09","23:00","2.842","-","2.63"
"2024/01/10","00:00","1.805","-","1.73"
"2024/01/10","01:00","0.928","-","1.08"
"2024/01/10","02:00","0.232","-","0.37"
"2024/01/10","03:00","-0.233","-","-0.21"
"2024/01/10","04:00","-0.282","-","-0.36"
"2024/01/10","05:00","0.215","-","0.08"
"2024/01/10","06:00","1.115","-","1.17"
"2024/01/10","07:00","2.136","-","2.32"
"2024/01/10","08:00","3.06","-","3.11"
"2024/01/10","09:00","3.706","-","3.51"
"2024/01/10","10:00","3.912","-","3.6"
"2024/01/10","11:00","3.666","-","3.44"
"2024/01/10","12:00","3.177","-","3.04"
"2024/01/10","13:00","2.733","-","2.48"
"2024/01/10","14:00","2.532","-","2.18"
"2024/01/10","15:00","2.648","-","2.44"
"2024/01/10","16:00","3.131","-","3.19"
"2024/01/10","17:00","3.973","-","4.16"
"2024/01/10","18:00","4.929","-","5.03"
"2024/01/10","19:00","5.61","-","5.53"
"2024/01/10","20:00","5.797","-","5.77"
"2024/01/10","21:00","5.495","-","5.68"
"2024/01/10","22:00","4.777","-","4.95"
"2024/01/10","23:00","3.751","-","3.78"
"2024/01/11","00:00","2.599","-","2.67"
"2024/01/11","01:00","1.522","-","1.81"
"2024/01/11","02:00","0.63","-","1.11"
"2024/01/11","03:00","-0.051","-","0.42"
"2024/01/11","04:00","-0.437","-","-0.05"
"2024/01/11","05:00","-0.329","-","-0.11"
"2024/01/11","06:00","0.349","-","0.56"
"2024/01/11","07:00","1.381","-","1.84"
"2024/01/11","08:00","2.457","-","2.93"
"2024/01/11","09:00","3.359","-","3.6"
"2024/01/11","10:00","3.915","-","3.87"
"2024/01/11","11:00","3.994","-","3.85"
"2024/01/11","12:00","3.638","-","3.53"
"2024/01/11","13:00","3.08","-","2.91"
"2024/01/11","14:00","2.607","-","2.28"
"2024/01/11","15:00","2.402","-","1.95"
"2024/01/11","16:00","2.544","-","2.24"
"2024/01/11","17:00","3.1","-","3.07"
"2024/01/11","18:00","4.031","-","4.09"
"2024/01/11","19:00","5.034","-","4.96"
"2024/01/11","20:00","5.7","-","5.45"
"2024/01/11","21:00","5.829","-","5.6"
"2024/01/11","22:00","5.443","-","5.32"
"2024/01/11","23:00","4.629","-","4.38"
"2024/01/12","00:00","3.516","-","3.1"
"2024/01/12","01:00","2.307","-","2.01"
"2024/01/12","02:00","1.204","-","1.26"
"2024/01/12","03:00","0.317","-","0.53"
"2024/01/12","04:00","-0.311","-","-0.24"
"2024/01/12","05:00","-0.565","-","-0.69"
"2024/01/12","06:00","-0.259","-","-0.59"
"2024/01/12","07:00","0.605","-","0.37"
"2024/01/12","08:00","1.738","-","1.67"
"2024/01/12","09:00","2.815","-","2.75"
"2024/01/12","10:00","3.637","-","3.43"
"2024/01/12","11:00","4.054","-","3.71"
"2024/01/12","12:00","3.979","-","3.69"
"2024/01/12","13:00","3.496","-","3.29"
"2024/01/12","14:00","2.862","-","2.57"
"2024/01/12","15:00","2.357","-","1.97"
"2024/01/12","16:00","2.151","-","1.76"
"2024/01/12","17:00","2.331","-","2.18"
"2024/01/12","18:00","2.968","-","3.1"
"2024/01/12","19:00","3.982","-","4.16"
"2024/01/12","20:00","5.01","-","4.99"
"2024/01/12","21:00","5.644","-","5.44"
"2024/01/12","22:00","5.716","-","5.52"
"2024/01/12","23:00","5.264","-","5.12"
"2024/01/13","00:00","4.38","-","4.06"
"2024/01/13","01:00","3.21","-","2.76"
"2024/01/13","02:00","1.968","-","1.7"
"2024/01/13","03:00","0.867","-","0.97"
"2024/01/13","04:00","0.023","-","0.25"
"2024/01/13","05:00","-0.5","-","-0.46"
"2024/01/13","06:00","-0.571","-","-0.78"
"2024/01/13","07:00","-0.043","-","-0.38"
"2024/01/13","08:00","0.986","-","0.8"
"2024/01/13","09:00","2.17","-","2.11"
"2024/01/13","10:00","3.191","-","3.08"
"2024/01/13","11:00","3.884","-","3.66"
"2024/01/13","12:00","4.131","-","3.85"
"2024/01/13","13:00","3.886","-","3.72"
"2024/01/13","14:00","3.274","-","3.21"
"2024/01/13","15:00","2.568","-","2.44"
"2024/01/13","16:00","2.036","-","1.81"
"2024/01/13","17:00","1.837","-","1.67"
"2024/01/13","18:00","2.061","-","2.18"
"2024/01/13","19:00","2.768","-","3.18"
"2024/01/13","20:00","3.828","-","4.26"
"2024/01/13","21:00","4.843","-","5.05"
"2024/01/13","22:00","5.424","-","5.44"
"2024/01/13","23:00","5.444","-","5.43"
"2024/01/14","00:00","4.954","-","4.95"
"2024/01/14","01:00","4.037","-","3.89"
"2024/01/14","02:00","2.847","-","2.69"
"2024/01/14","03:00","1.612","-","1.74"
"2024/01/14","04:00","0.557","-","1.06"
"2024/01/14","05:00","-0.191","-","0.44"
"2024/01/14","06:00","-0.556","-","-0.11"
"2024/01/14","07:00","-0.409","-","-0.18"
"2024/01/14","08:00","0.332","-","0.58"
"2024/01/14","09:00","1.48","-","1.85"
"2024/01/14","10:00","2.652","-","3.03"
"2024/01/14","11:00","3.566","-","3.83"
"2024/01/14","12:00","4.098","-","4.21"
"2024/01/14","13:00","4.162","-","4.27"
"2024/01/14","14:00","3.749","-","3.95"
"2024/01/14","15:00","3.021","-","3.18"
"2024/01/14","16:00","2.257","-","2.27"
"2024/01/14","17:00","1.712","-","1.66"
"2024/01/14","18:00","1.524","-","1.54"
"2024/01/14","19:00","1.776","-","1.93"
"2024/01/14","20:00","2.513","-","2.82"
"2024/01/14","21:00","3.565","-","3.88"
"2024/01/14","22:00","4.52","-","4.66"
"2024/01/14","23:00","5.035","-","5"
"2024/01/15","00:00","5.026","-","4.96"
"2024/01/15","01:00","4.536","-","4.4"
"2024/01/15","02:00","3.634","-","3.25"
"2024/01/15","03:00","2.473","-","2.04"
"2024/01/15","04:00","1.298","-","1.15"
"2024/01/15","05:00","0.344","-","0.46"
"2024/01/15","06:00","-0.257","-","-0.18"
"2024/01/15","07:00","-0.429","-","-0.52"
"2024/01/15","08:00","-0.065","-","-0.34"
"2024/01/15","09:00","0.848","-","0.73"
"2024/01/15","10:00","2.048","-","2.09"
"2024/01/15","11:00","3.149","-","3.18"
"2024/01/15","12:00","3.922","-","3.88"
"2024/01/15","13:00","4.28","-","4.21"
"2024/01/15","14:00","4.168","-","4.22"
"2024/01/15","15:00","3.608","-","3.77"
"2024/01/15","16:00","2.79","-","2.87"
"2024/01/15","17:00","1.993","-","1.94"
"2024/01/15","18:00","1.445","-","1.32"
"2024/01/15","19:00","1.255","-","1.18"
"2024/01/15","20:00","1.497","-","1.48"
"2024/01/15","21:00","2.204","-","2.32"
"2024/01/15","22:00","3.184","-","3.3"
"2024/01/15","23:00","4.046","-","4.07"
"2024/01/16","00:00","4.506","-","4.42"
"2024/01/16","01:00","4.506","-","4.39"
"2024/01/16","02:00","4.068","-","3.81"
"2024/01/16","03:00","3.236","-","2.79"
"2024/01/16","04:00","2.161","-","1.7"
