"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2023/01/01","00:00","2.318","-","3.28"
"2023/01/01","01:00","3.529","-","4.48"
"2023/01/01","02:00","4.737","-","5.71"
"2023/01/01","03:00","5.636","-","6.56"
"2023/01/01","04:00","5.966","-","7"
"2023/01/01","05:00","5.655","-","6.6"
"2023/01/01","06:00","4.869","-","5.77"
"2023/01/01","07:00","3.881","-","4.66"
"2023/01/01","08:00","2.922","-","3.57"
"2023/01/01","09:00","2.257","-","2.99"
"2023/01/01","10:00","2.221","-","2.98"
"2023/01/01","11:00","2.958","-","3.72"
"2023/01/01","12:00","4.258","-","5.16"
"2023/01/01","13:00","5.757","-","6.55"
"2023/01/01","14:00","7.138","-","7.85"
"2023/01/01","15:00","8.12","-","8.56"
"2023/01/01","16:00","8.455","-","8.76"
"2023/01/01","17:00","8.034","-","8.19"
"2023/01/01","18:00","6.962","-","6.96"
"2023/01/01","19:00","5.473","-","5.41"
"2023/01/01","20:00","3.787","-","3.8"
"2023/01/01","21:00","2.133","-","2.35"
"2023/01/01","22:00","0.883","-","1.31"
"2023/01/01","23:00","0.407","-","0.73"
"2023/01/02","00:00","0.77","-","1.09"
"2023/01/02","01:00","1.766","-","1.99"
"2023/01/02","02:00","3.114","-","3.43"
"2023/01/02","03:00","4.501","-","4.76"
"2023/01/02","04:00","5.574","-","5.81"
"2023/01/02","05:00","6.054","-","6.49"
"2023/01/02","06:00","5.88","-","6.42"
"2023/01/02","07:00","5.217","-","5.86"
"2023/01/02","08:00","4.307","-","4.81"
"2023/01/02","09:00","3.384","-","3.86"
"2023/01/02","10:00","2.76","-","3.14"
"2023/01/02","11:00","2.788","-","3.16"
"2023/01/02","12:00","3.571","-","3.98"
"2023/01/02","13:00","4.868","-","5.3"
"2023/01/02","14:00","6.317","-","6.77"
"2023/01/02","15:00","7.592","-","7.96"
"2023/01/02","16:00","8.396","-","8.76"
"2023/01/02","17:00","8.51","-","8.86"
"2023/01/02","18:00","7.88","-","8.04"
"2023/01/02","19:00","6.644","-","6.64"
"2023/01/02","20:00","5.03","-","5.04"
"2023/01/02","21:00","3.24","-","3.38"
"2023/01/02","22:00","1.528","-","1.86"
"2023/01/02","23:00","0.298","-","0.89"
"2023/01/03","00:00","-0.1","-","0.27"
"2023/01/03","01:00","0.377","-","0.8"
"2023/01/03","02:00","1.52","-","1.85"
"2023/01/03","03:00","3.036","-","3.55"
"2023/01/03","04:00","4.571","-","4.91"
"2023/01/03","05:00","5.747","-","6.15"
"2023/01/03","06:00","6.294","-","6.86"
"2023/01/03","07:00","6.165","-","6.98"
"2023/01/03","08:00","5.522","-","6.43"
"2023/01/03","09:00","4.611","-","5.41"
"2023/01/03","10:00","3.692","-","4.36"
"2023/01/03","11:00","3.116","-","3.75"
"2023/01/03","12:00","3.227","-","3.59"
"2023/01/03","13:00","4.081","-","4.51"
"2023/01/03","14:00","5.4","-","5.79"
"2023/01/03","15:00","6.8","-","7.2"
"2023/01/03","16:00","7.937","-","8.42"
"2023/01/03","17:00","8.529","-","8.93"
"2023/01/03","18:00","8.403","-","8.87"
"2023/01/03","19:00","7.556","-","7.84"
"2023/01/03","20:00","6.152","-","6.32"
"2023/01/03","21:00","4.427","-","4.51"
"2023/01/03","22:00","2.591","-","2.82"
"2023/01/03","23:00","0.915","-","1.36"
"2023/01/04","00:00","-0.192","-","0.4"
"2023/01/04","01:00","-0.406","-","-0.02"
"2023/01/04","02:00","0.274","-","0.78"
"2023/01/04","03:00","1.605","-","2.03"
"2023/01/04","04:00","3.261","-","3.65"
"2023/01/04","05:00","4.872","-","5.2"
"2023/01/04","06:00","6.063","-","6.5"
"2023/01/04","07:00","6.58","-","7.13"
"2023/01/04","08:00","6.393","-","7.23"
"2023/01/04","09:00","5.691","-","6.49"
"2023/01/04","10:00","4.741","-","5.5"
"2023/01/04","11:00","3.829","-","4.38"
"2023/01/04","12:00","3.326","-","3.87"
"2023/01/04","13:00","3.558","-","4.16"
"2023/01/04","14:00","4.521","-","5.14"
"2023/01/04","15:00","5.873","-","6.52"
"2023/01/04","16:00","7.199","-","7.89"
"2023/01/04","17:00","8.163","-","8.73"
"2023/01/04","18:00","8.519","-","9.06"
"2023/01/04","19:00","8.141","-","8.7"
"2023/01/04","20:00","7.068","-","7.58"
"2023/01/04","21:00","5.51","-","5.96"
"2023/01/04","22:00","3.721","-","4.26"
"2023/01/04","23:00","1.91","-","2.57"
"2023/01/05","00:00","0.359","-","1.16"
"2023/01/05","01:00","-0.521","-","0.41"
"2023/01/05","02:00","-0.458","-","0.73"
"2023/01/05","03:00","0.47","-","1.75"
"2023/01/05","04:00","1.97","-","2.96"
"2023/01/05","05:00","3.704","-","4.75"
"2023/01/05","06:00","5.307","-","6.36"
"2023/01/05","07:00","6.415","-","7.56"
"2023/01/05","08:00","6.799","-","8.11"
"2023/01/05","09:00","6.476","-","7.89"
"2023/01/05","10:00","5.678","-","7.06"
"2023/01/05","11:00","4.687","-","6.04"
"2023/01/05","12:00","3.804","-","4.99"
"2023/01/05","13:00","3.423","-","4.55"
"2023/01/05","14:00","3.834","-","5.04"
"2023/01/05","15:00","4.93","-","6.29"
"2023/01/05","16:00","6.298","-","7.67"
"2023/01/05","17:00","7.518","-","9.01"
"2023/01/05","18:00","8.283","-","9.85"
"2023/01/05","19:00","8.383","-","9.91"
"2023/01/05","20:00","7.736","-","9.21"
"2023/01/05","21:00","6.444","-","7.69"
"2023/01/05","22:00","4.768","-","5.84"
"2023/01/05","23:00","2.967","-","3.91"
"2023/01/06","00:00","1.247","-","2.31"
"2023/01/06","01:00","-0.088","-","1.07"
"2023/01/06","02:00","-0.644","-","0.46"
"2023/01/06","03:00","-0.248","-","0.74"
"2023/01/06","04:00","0.922","-","1.81"
"2023/01/06","05:00","2.54","-","3.29"
