"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2024/01/01","00:00","4.447","-","4.92"
"2024/01/01","01:00","3.396","-","3.79"
"2024/01/01","02:00","2.205","-","2.6"
"2024/01/01","03:00","1.162","-","1.53"
"2024/01/01","04:00","0.51","-","0.91"
"2024/01/01","05:00","0.343","-","0.63"
"2024/01/01","06:00","0.639","-","0.91"
"2024/01/01","07:00","1.353","-","1.61"
"2024/01/01","08:00","2.346","-","2.71"
"2024/01/01","09:00","3.373","-","3.73"
"2024/01/01","10:00","4.232","-","4.57"
"2024/01/01","11:00","4.829","-","5.28"
"2024/01/01","12:00","5.087","-","5.44"
"2024/01/01","13:00","4.958","-","5.54"
"2024/01/01","14:00","4.501","-","4.91"
"2024/01/01","15:00","3.898","-","4.36"
"2024/01/01","16:00","3.367","-","3.62"
"2024/01/01","17:00","3.062","-","3.32"
"2024/01/01","18:00","3.04","-","3.32"
"2024/01/01","19:00","3.319","-","3.67"
"2024/01/01","20:00","3.848","-","4.28"
"2024/01/01","21:00","4.426","-","4.82"
"2024/01/01","22:00","4.813","-","5.3"
"2024/01/01","23:00","4.881","-","5.32"
"2024/01/02","00:00","4.581","-","4.99"
"2024/01/02","01:00","3.907","-","4.22"
"2024/01/02","02:00","2.964","-","3.21"
"2024/01/02","03:00","1.969","-","2.14"
"2024/01/02","04:00","1.177","-","1.45"
"2024/01/02","05:00","0.766","-","0.87"
"2024/01/02","06:00","0.787","-","0.96"
"2024/01/02","07:00","1.216","-","1.32"
"2024/01/02","08:00","1.994","-","2.17"
"2024/01/02","09:00","2.966","-","3.22"
"2024/01/02","10:00","3.897","-","4.08"
"2024/01/02","11:00","4.619","-","4.94"
"2024/01/02","12:00","5.053","-","5.34"
"2024/01/02","13:00","5.131","-","5.58"
"2024/01/02","14:00","4.839","-","5.32"
"2024/01/02","15:00","4.28","-","4.82"
"2024/01/02","16:00","3.631","-","4.03"
"2024/01/02","17:00","3.083","-","3.51"
"2024/01/02","18:00","2.761","-","3.08"
"2024/01/02","19:00","2.715","-","3.1"
"2024/01/02","20:00","2.958","-","3.42"
"2024/01/02","21:00","3.426","-","3.93"
"2024/01/02","22:00","3.927","-","4.47"
"2024/01/02","23:00","4.258","-","4.94"
"2024/01/03","00:00","4.316","-","5.09"
"2024/01/03","01:00","4.056","-","4.76"
"2024/01/03","02:00","3.486","-","4.25"
"2024/01/03","03:00","2.719","-","3.32"
"2024/01/03","04:00","1.949","-","2.47"
"2024/01/03","05:00","1.38","-","1.82"
"2024/01/03","06:00","1.157","-","1.61"
"2024/01/03","07:00","1.314","-","1.78"
"2024/01/03","08:00","1.821","-","2.35"
"2024/01/03","09:00","2.615","-","3.16"
"2024/01/03","10:00","3.537","-","4.06"
"2024/01/03","11:00","4.367","-","4.88"
"2024/01/03","12:00","4.956","-","5.43"
"2024/01/03","13:00","5.227","-","5.82"
"2024/01/03","14:00","5.134","-","5.72"
"2024/01/03","15:00","4.699","-","5.34"
"2024/01/03","16:00","4.033","-","4.49"
"2024/01/03","17:00","3.305","-","3.79"
"2024/01/03","18:00","2.698","-","3.09"
"2024/01/03","19:00","2.331","-","2.74"
"2024/01/03","20:00","2.244","-","2.66"
"2024/01/03","21:00","2.449","-","2.82"
"2024/01/03","22:00","2.882","-","3.25"
"2024/01/03","23:00","3.362","-","3.76"
"2024/01/04","00:00","3.706","-","4.13"
"2024/01/04","01:00","3.821","-","4.16"
"2024/01/04","02:00","3.671","-","3.99"
"2024/01/04","03:00","3.267","-","3.43"
"2024/01/04","04:00","2.7","-","2.75"
"2024/01/04","05:00","2.127","-","2.14"
"2024/01/04","06:00","1.729","-","1.61"
"2024/01/04","07:00","1.637","-","1.59"
"2024/01/04","08:00","1.873","-","1.77"
"2024/01/04","09:00","2.41","-","2.44"
"2024/01/04","10:00","3.193","-","3.19"
"2024/01/04","11:00","4.062","-","4.18"
"2024/01/04","12:00","4.794","-","4.79"
"2024/01/04","13:00","5.249","-","5.36"
"2024/01/04","14:00","5.366","-","5.52"
"2024/01/04","15:00","5.117","-","5.35"
"2024/01/04","16:00","4.534","-","4.76"
"2024/01/04","17:00","3.729","-","3.88"
"2024/01/04","18:00","2.885","-","2.93"
"2024/01/04","19:00","2.198","-","2.26"
"2024/01/04","20:00","1.775","-","1.81"
"2024/01/04","21:00","1.653","-","1.68"
"2024/01/04","22:00","1.855","-","1.91"
"2024/01/04","23:00","2.314","-","2.35"
"2024/01/05","00:00","2.839","-","2.94"
"2024/01/05","01:00","3.256","-","3.4"
"2024/01/05","02:00","3.49","-","3.76"
"2024/01/05","03:00","3.502","-","3.67"
"2024/01/05","04:00","3.28","-","3.37"
"2024/01/05","05:00","2.881","-","2.95"
"2024/01/05","06:00","2.448","-","2.4"
"2024/01/05","07:00","2.162","-","2.15"
"2024/01/05","08:00","2.142","-","2.04"
"2024/01/05","09:00","2.407","-","2.41"
"2024/01/05","10:00","2.952","-","3"
"2024/01/05","11:00","3.728","-","3.87"
"2024/01/05","12:00","4.549","-","4.67"
"2024/01/05","13:00","5.186","-","5.33"
"2024/01/05","14:00","5.516","-","5.79"
"2024/01/05","15:00","5.493","-","5.71"
"2024/01/05","16:00","5.083","-","5.35"
"2024/01/05","17:00","4.321","-","4.47"
"2024/01/05","18:00","3.344","-","3.47"
"2024/01/05","19:00","2.369","-","2.47"
"2024/01/05","20:00","1.596","-","1.66"
"2024/01/05","21:00","1.126","-","1.2"
"2024/01/05","22:00","1.009","-","1.15"
"2024/01/05","23:00","1.273","-","1.35"
"2024/01/06","00:00","1.821","-","1.83"
"2024/01/06","01:00","2.444","-","2.63"
"2024/01/06","02:00","2.988","-","3.22"
"2024/01/06","03:00","3.383","-","3.64"
