"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2023/01/01","00:00","2.111","-","2.92"
"2023/01/01","01:00","2.828","-","3.61"
"2023/01/01","02:00","3.463","-","4.19"
"2023/01/01","03:00","3.833","-","4.57"
"2023/01/01","04:00","3.829","-","4.53"
"2023/01/01","05:00","3.467","-","4.26"
"2023/01/01","06:00","2.896","-","3.59"
"2023/01/01","07:00","2.355","-","3.06"
"2023/01/01","08:00","2.064","-","2.62"
"2023/01/01","09:00","2.143","-","2.63"
"2023/01/01","10:00","2.618","-","3.13"
"2023/01/01","11:00","3.403","-","3.78"
"2023/01/01","12:00","4.32","-","4.73"
"2023/01/01","13:00","5.198","-","5.54"
"2023/01/01","14:00","5.877","-","6.18"
"2023/01/01","15:00","6.168","-","6.46"
"2023/01/01","16:00","5.917","-","6.31"
"2023/01/01","17:00","5.116","-","5.48"
"2023/01/01","18:00","3.907","-","4.22"
"2023/01/01","19:00","2.565","-","2.9"
"2023/01/01","20:00","1.395","-","1.76"
"2023/01/01","21:00","0.608","-","0.97"
"2023/01/01","22:00","0.301","-","0.66"
"2023/01/01","23:00","0.465","-","0.75"
"2023/01/02","00:00","0.985","-","1.31"
"2023/01/02","01:00","1.722","-","2"
"2023/01/02","02:00","2.567","-","2.88"
"2023/01/02","03:00","3.362","-","3.62"
"2023/01/02","04:00","3.905","-","4.11"
"2023/01/02","05:00","4.06","-","4.29"
"2023/01/02","06:00","3.82","-","4.11"
"2023/01/02","07:00","3.33","-","3.81"
"2023/01/02","08:00","2.841","-","3.22"
"2023/01/02","09:00","2.582","-","2.89"
"2023/01/02","10:00","2.68","-","3.04"
"2023/01/02","11:00","3.161","-","3.4"
"2023/01/02","12:00","3.92","-","4.11"
"2023/01/02","13:00","4.774","-","5.09"
"2023/01/02","14:00","5.56","-","5.86"
"2023/01/02","15:00","6.116","-","6.43"
"2023/01/02","16:00","6.246","-","6.65"
"2023/01/02","17:00","5.812","-","6.22"
"2023/01/02","18:00","4.825","-","5.32"
"2023/01/02","19:00","3.462","-","3.87"
"2023/01/02","20:00","2.03","-","2.34"
"2023/01/02","21:00","0.842","-","1.41"
"2023/01/02","22:00","0.099","-","0.59"
"2023/01/02","23:00","-0.124","-","0.33"
"2023/01/03","00:00","0.137","-","0.58"
"2023/01/03","01:00","0.755","-","1.24"
"2023/01/03","02:00","1.602","-","2.24"
"2023/01/03","03:00","2.572","-","3.04"
"2023/01/03","04:00","3.488","-","3.95"
"2023/01/03","05:00","4.127","-","4.44"
"2023/01/03","06:00","4.341","-","4.79"
"2023/01/03","07:00","4.127","-","4.63"
"2023/01/03","08:00","3.651","-","4.23"
"2023/01/03","09:00","3.183","-","3.81"
"2023/01/03","10:00","2.955","-","3.35"
"2023/01/03","11:00","3.089","-","3.46"
"2023/01/03","12:00","3.591","-","3.89"
"2023/01/03","13:00","4.337","-","4.61"
"2023/01/03","14:00","5.138","-","5.44"
"2023/01/03","15:00","5.833","-","6.14"
"2023/01/03","16:00","6.253","-","6.67"
"2023/01/03","17:00","6.201","-","6.66"
"2023/01/03","18:00","5.562","-","6.17"
"2023/01/03","19:00","4.388","-","4.96"
"2023/01/03","20:00","2.902","-","3.28"
"2023/01/03","21:00","1.444","-","1.89"
"2023/01/03","22:00","0.321","-","0.78"
"2023/01/03","23:00","-0.297","-","0.1"
"2023/01/04","00:00","-0.37","-","0"
"2023/01/04","01:00","0.033","-","0.39"
"2023/01/04","02:00","0.772","-","1.2"
"2023/01/04","03:00","1.73","-","2.19"
"2023/01/04","04:00","2.792","-","3.26"
"2023/01/04","05:00","3.76","-","4.06"
"2023/01/04","06:00","4.4","-","4.71"
"2023/01/04","07:00","4.576","-","4.94"
"2023/01/04","08:00","4.313","-","4.83"
"2023/01/04","09:00","3.815","-","4.4"
"2023/01/04","10:00","3.367","-","4.06"
"2023/01/04","11:00","3.19","-","3.73"
"2023/01/04","12:00","3.384","-","3.85"
"2023/01/04","13:00","3.928","-","4.45"
"2023/01/04","14:00","4.672","-","5.25"
"2023/01/04","15:00","5.424","-","6.02"
"2023/01/04","16:00","6.023","-","6.71"
"2023/01/04","17:00","6.289","-","7.15"
"2023/01/04","18:00","6.031","-","7.06"
"2023/01/04","19:00","5.176","-","6.12"
"2023/01/04","20:00","3.832","-","4.83"
"2023/01/04","21:00","2.277","-","3.34"
"2023/01/04","22:00","0.869","-","2.03"
"2023/01/04","23:00","-0.11","-","1.15"
"2023/01/05","00:00","-0.54","-","0.85"
"2023/01/05","01:00","-0.423","-","1.01"
"2023/01/05","02:00","0.139","-","1.68"
"2023/01/05","03:00","1","-","2.63"
"2023/01/05","04:00","2.045","-","3.86"
"2023/01/05","05:00","3.146","-","4.63"
"2023/01/05","06:00","4.084","-","5.47"
"2023/01/05","07:00","4.633","-","5.86"
"2023/01/05","08:00","4.694","-","6.04"
"2023/01/05","09:00","4.342","-","5.67"
"2023/01/05","10:00","3.82","-","5.16"
"2023/01/05","11:00","3.415","-","4.76"
"2023/01/05","12:00","3.32","-","4.53"
"2023/01/05","13:00","3.599","-","4.98"
"2023/01/05","14:00","4.198","-","5.49"
"2023/01/05","15:00","4.946","-","6.24"
"2023/01/05","16:00","5.647","-","6.99"
"2023/01/05","17:00","6.136","-","7.53"
"2023/01/05","18:00","6.223","-","7.7"
"2023/01/05","19:00","5.741","-","7.19"
"2023/01/05","20:00","4.674","-","6.05"
"2023/01/05","21:00","3.2","-","4.43"
"2023/01/05","22:00","1.642","-","2.79"
"2023/01/05","23:00","0.358","-","1.55"
"2023/01/06","00:00","-0.417","-","0.74"
"2023/01/06","01:00","-0.621","-","0.33"
"2023/01/06","02:00","-0.3","-","0.66"
"2023/01/06","03:00","0.419","-","1.11"
"2023/01/06","04:00","1.382","-","2.07"
"2023/01/06","05:00","2.474","-","3.13"
"2023/01/06","06:00","3.548","-","4.02"
"2023/01/06","07:00","4.374","-","4.79"
"2023/01/06","08:00","4.761","-","5.17"
"2023/01/06","09:00","4.665","-","4.97"
"2023/01/06","10:00","4.222","-","4.69"
"2023/01/06","11:00","3.703","-","4.23"
"2023/01/06","12:00","3.377","-","3.82"
"2023/01/06","13:00","3.391","-","3.94"
"2023/01/06","14:00","3.771","-","4.24"
"2023/01/06","15:00","4.429","-","4.77"
"2023/01/06","16:00","5.175","-","5.6"
"2023/01/06","17:00","5.812","-","6.29"
"2023/01/06","18:00","6.167","-","6.72"
