Date,Time (GMT),Predicted (ft),Preliminary (ft),Verified (ft)
1/1/2023,0:00,2.318,-,3.28
1/1/2023,1:00,3.529,-,4.48
1/1/2023,2:00,4.737,-,5.71
1/1/2023,3:00,5.636,-,6.56
1/1/2023,4:00,5.966,-,7
1/1/2023,5:00,5.655,-,6.6
1/1/2023,6:00,4.869,-,5.77
1/1/2023,7:00,3.881,-,4.66
1/1/2023,8:00,2.922,-,3.57
1/1/2023,9:00,2.257,-,2.99
1/1/2023,10:00,2.221,-,2.98
1/1/2023,11:00,2.958,-,3.72
1/1/2023,12:00,4.258,-,5.16
1/1/2023,13:00,5.757,-,6.55
1/1/2023,14:00,7.138,-,7.85
1/1/2023,15:00,8.12,-,8.56
1/1/2023,16:00,8.455,-,8.76
1/1/2023,17:00,8.034,-,8.19
1/1/2023,18:00,6.962,-,6.96
1/1/2023,19:00,5.473,-,5.41
1/1/2023,20:00,3.787,-,3.8
1/1/2023,21:00,2.133,-,2.35
1/1/2023,22:00,0.883,-,1.31
1/1/2023,23:00,0.407,-,0.73
1/2/2023,0:00,0.77,-,1.09
1/2/2023,1:00,1.766,-,1.99
1/2/2023,2:00,3.114,-,3.43
1/2/2023,3:00,4.501,-,4.76
1/2/2023,4:00,5.574,-,5.81
1/2/2023,5:00,6.054,-,6.49
1/2/2023,6:00,5.88,-,6.42
1/2/2023,7:00,5.217,-,5.86
1/2/2023,8:00,4.307,-,4.81
1/2/2023,9:00,3.384,-,3.86
1/2/2023,10:00,2.76,-,3.14
1/2/2023,11:00,2.788,-,3.16
1/2/2023,12:00,3.571,-,3.98
1/2/2023,13:00,4.868,-,5.3
1/2/2023,14:00,6.317,-,6.77
1/2/2023,15:00,7.592,-,7.96
1/2/2023,16:00,8.396,-,8.76
1/2/2023,17:00,8.51,-,8.86
1/2/2023,18:00,7.88,-,8.04
1/2/2023,19:00,6.644,-,6.64
1/2/2023,20:00,5.03,-,5.04
1/2/2023,21:00,3.24,-,3.38
1/2/2023,22:00,1.528,-,1.86
1/2/2023,23:00,0.298,-,0.89
1/3/2023,0:00,-0.1,-,0.27
1/3/2023,1:00,0.377,-,0.8
1/3/2023,2:00,1.52,-,1.85
1/3/2023,3:00,3.036,-,3.55
1/3/2023,4:00,4.571,-,4.91
1/3/2023,5:00,5.747,-,6.15
1/3/2023,6:00,6.294,-,6.86
1/3/2023,7:00,6.165,-,6.98
1/3/2023,8:00,5.522,-,6.43
1/3/2023,9:00,4.611,-,5.41
1/3/2023,10:00,3.692,-,4.36
1/3/2023,11:00,3.116,-,3.75
1/3/2023,12:00,3.227,-,3.59
1/3/2023,13:00,4.081,-,4.51
1/3/2023,14:00,5.4,-,5.79
1/3/2023,15:00,6.8,-,7.2
1/3/2023,16:00,7.937,-,8.42
1/3/2023,17:00,8.529,-,8.93
1/3/2023,18:00,8.403,-,8.87
1/3/2023,19:00,7.556,-,7.84
1/3/2023,20:00,6.152,-,6.32
1/3/2023,21:00,4.427,-,4.51
1/3/2023,22:00,2.591,-,2.82
1/3/2023,23:00,0.915,-,1.36
1/4/2023,0:00,-0.192,-,0.4
1/4/2023,1:00,-0.406,-,-0.02
1/4/2023,2:00,0.274,-,0.78
