Date,Time (GMT),Predicted (ft),Verified (ft)
4/30/2024,0:00,3.856,3.8
4/30/2024,1:00,4.089,4.27
4/30/2024,2:00,4.036,4.37
4/30/2024,3:00,3.811,4.31
4/30/2024,4:00,3.574,4.16
4/30/2024,5:00,3.471,4.12
4/30/2024,6:00,3.563,4.15
4/30/2024,7:00,3.83,4.33
4/30/2024,8:00,4.23,4.64
4/30/2024,9:00,4.684,4.93
4/30/2024,10:00,5.048,5.16
4/30/2024,11:00,5.172,5.29
4/30/2024,12:00,4.944,5.14
4/30/2024,13:00,4.279,4.71
4/30/2024,14:00,3.212,4.02
4/30/2024,15:00,1.942,3.44
4/30/2024,16:00,0.752,2.92
4/30/2024,17:00,-0.1,2.59
4/30/2024,18:00,-0.467,2.26
4/30/2024,19:00,-0.362,2.02
4/30/2024,20:00,0.12,1.96
4/30/2024,21:00,0.873,2.03
4/30/2024,22:00,1.761,2.42
4/30/2024,23:00,2.646,2.84
