"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2024/01/01","00:00","1.154","-","1.43"
"2024/01/01","01:00","0.493","-","0.83"
"2024/01/01","02:00","0.2","-","0.52"
"2024/01/01","03:00","0.312","-","0.66"
"2024/01/01","04:00","0.776","-","1.1"
"2024/01/01","05:00","1.472","-","1.74"
"2024/01/01","06:00","2.24","-","2.58"
"2024/01/01","07:00","2.919","-","3.22"
"2024/01/01","08:00","3.385","-","3.72"
"2024/01/01","09:00","3.578","-","3.96"
"2024/01/01","10:00","3.51","-","3.93"
"2024/01/01","11:00","3.261","-","3.66"
"2024/01/01","12:00","2.949","-","3.37"
"2024/01/01","13:00","2.705","-","3.11"
"2024/01/01","14:00","2.628","-","3.23"
"2024/01/01","15:00","2.767","-","3.28"
"2024/01/01","16:00","3.099","-","3.6"
"2024/01/01","17:00","3.537","-","3.98"
"2024/01/01","18:00","3.955","-","4.38"
"2024/01/01","19:00","4.218","-","4.6"
"2024/01/01","20:00","4.222","-","4.59"
"2024/01/01","21:00","3.921","-","4.26"
"2024/01/01","22:00","3.344","-","3.6"
"2024/01/01","23:00","2.588","-","2.89"
"2024/01/02","00:00","1.797","-","2.07"
"2024/01/02","01:00","1.125","-","1.48"
"2024/01/02","02:00","0.703","-","1.03"
"2024/01/02","03:00","0.608","-","0.93"
"2024/01/02","04:00","0.846","-","1.1"
"2024/01/02","05:00","1.353","-","1.56"
"2024/01/02","06:00","2.016","-","2.22"
"2024/01/02","07:00","2.694","-","2.89"
"2024/01/02","08:00","3.257","-","3.46"
"2024/01/02","09:00","3.611","-","3.82"
"2024/01/02","10:00","3.717","-","4.03"
"2024/01/02","11:00","3.598","-","3.95"
"2024/01/02","12:00","3.325","-","3.67"
"2024/01/02","13:00","3.005","-","3.37"
"2024/01/02","14:00","2.743","-","3.13"
"2024/01/02","15:00","2.623","-","2.96"
"2024/01/02","16:00","2.679","-","3"
"2024/01/02","17:00","2.891","-","3.2"
"2024/01/02","18:00","3.188","-","3.47"
"2024/01/02","19:00","3.469","-","3.66"
"2024/01/02","20:00","3.629","-","3.79"
"2024/01/02","21:00","3.591","-","3.75"
"2024/01/02","22:00","3.325","-","3.49"
"2024/01/02","23:00","2.863","-","3.05"
"2024/01/03","00:00","2.287","-","2.46"
"2024/01/03","01:00","1.714","-","1.99"
"2024/01/03","02:00","1.266","-","1.49"
"2024/01/03","03:00","1.038","-","1.31"
"2024/01/03","04:00","1.083","-","1.29"
"2024/01/03","05:00","1.393","-","1.6"
"2024/01/03","06:00","1.906","-","2.08"
"2024/01/03","07:00","2.522","-","2.66"
"2024/01/03","08:00","3.123","-","3.36"
"2024/01/03","09:00","3.599","-","3.9"
"2024/01/03","10:00","3.872","-","4.3"
"2024/01/03","11:00","3.911","-","4.3"
"2024/01/03","12:00","3.737","-","4.17"
"2024/01/03","13:00","3.413","-","3.87"
"2024/01/03","14:00","3.031","-","3.48"
"2024/01/03","15:00","2.688","-","3.16"
"2024/01/03","16:00","2.462","-","2.97"
"2024/01/03","17:00","2.395","-","2.82"
"2024/01/03","18:00","2.478","-","2.9"
"2024/01/03","19:00","2.663","-","3.03"
"2024/01/03","20:00","2.869","-","3.22"
"2024/01/03","21:00","3.01","-","3.34"
"2024/01/03","22:00","3.019","-","3.38"
"2024/01/03","23:00","2.866","-","3.28"
"2024/01/04","00:00","2.567","-","2.99"
"2024/01/04","01:00","2.184","-","2.63"
"2024/01/04","02:00","1.807","-","2.12"
"2024/01/04","03:00","1.532","-","1.89"
"2024/01/04","04:00","1.437","-","1.79"
"2024/01/04","05:00","1.564","-","1.76"
"2024/01/04","06:00","1.907","-","2.11"
"2024/01/04","07:00","2.414","-","2.45"
"2024/01/04","08:00","2.995","-","3.14"
"2024/01/04","09:00","3.546","-","3.69"
"2024/01/04","10:00","3.966","-","4.12"
"2024/01/04","11:00","4.178","-","4.34"
"2024/01/04","12:00","4.149","-","4.31"
"2024/01/04","13:00","3.892","-","4.19"
"2024/01/04","14:00","3.464","-","3.74"
"2024/01/04","15:00","2.958","-","3.24"
"2024/01/04","16:00","2.476","-","2.63"
"2024/01/04","17:00","2.107","-","2.33"
"2024/01/04","18:00","1.91","-","2.12"
"2024/01/04","19:00","1.898","-","2"
"2024/01/04","20:00","2.036","-","2.11"
"2024/01/04","21:00","2.255","-","2.26"
"2024/01/04","22:00","2.47","-","2.63"
"2024/01/04","23:00","2.603","-","2.74"
"2024/01/05","00:00","2.608","-","2.79"
"2024/01/05","01:00","2.481","-","2.63"
"2024/01/05","02:00","2.262","-","2.35"
"2024/01/05","03:00","2.024","-","2.07"
"2024/01/05","04:00","1.854","-","1.93"
"2024/01/05","05:00","1.828","-","1.8"
"2024/01/05","06:00","1.995","-","1.91"
"2024/01/05","07:00","2.356","-","2.26"
"2024/01/05","08:00","2.868","-","2.81"
"2024/01/05","09:00","3.446","-","3.51"
"2024/01/05","10:00","3.984","-","4.25"
"2024/01/05","11:00","4.372","-","4.59"
"2024/01/05","12:00","4.526","-","4.79"
"2024/01/05","13:00","4.403","-","4.68"
"2024/01/05","14:00","4.014","-","4.32"
"2024/01/05","15:00","3.422","-","3.74"
"2024/01/05","16:00","2.734","-","3.02"
"2024/01/05","17:00","2.075","-","2.34"
"2024/01/05","18:00","1.559","-","1.96"
"2024/01/05","19:00","1.268","-","1.52"
"2024/01/05","20:00","1.23","-","1.46"
"2024/01/05","21:00","1.412","-","1.68"
"2024/01/05","22:00","1.738","-","2.02"
"2024/01/05","23:00","2.102","-","2.4"
"2024/01/06","00:00","2.403","-","2.76"
"2024/01/06","01:00","2.57","-","2.91"
