"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2024/01/01","00:00","1.344","-","1.71"
"2024/01/01","01:00","0.627","-","0.98"
"2024/01/01","02:00","0.267","-","0.68"
"2024/01/01","03:00","0.315","-","0.81"
"2024/01/01","04:00","0.736","-","1.16"
"2024/01/01","05:00","1.418","-","1.76"
"2024/01/01","06:00","2.206","-","2.56"
"2024/01/01","07:00","2.934","-","3.27"
"2024/01/01","08:00","3.468","-","3.79"
"2024/01/01","09:00","3.732","-","4.1"
"2024/01/01","10:00","3.723","-","4.13"
"2024/01/01","11:00","3.507","-","3.89"
"2024/01/01","12:00","3.197","-","3.55"
"2024/01/01","13:00","2.924","-","3.33"
"2024/01/01","14:00","2.798","-","3.3"
"2024/01/01","15:00","2.88","-","3.43"
"2024/01/01","16:00","3.163","-","3.71"
"2024/01/01","17:00","3.573","-","4.08"
"2024/01/01","18:00","3.989","-","4.5"
"2024/01/01","19:00","4.278","-","4.74"
"2024/01/01","20:00","4.325","-","4.76"
"2024/01/01","21:00","4.073","-","4.39"
"2024/01/01","22:00","3.535","-","3.82"
"2024/01/01","23:00","2.796","-","3.09"
"2024/01/02","00:00","1.994","-","2.25"
"2024/01/02","01:00","1.285","-","1.65"
"2024/01/02","02:00","0.807","-","1.14"
"2024/01/02","03:00","0.651","-","0.96"
"2024/01/02","04:00","0.838","-","1.12"
"2024/01/02","05:00","1.317","-","1.57"
"2024/01/02","06:00","1.982","-","2.18"
"2024/01/02","07:00","2.694","-","2.94"
"2024/01/02","08:00","3.315","-","3.58"
"2024/01/02","09:00","3.738","-","4.03"
"2024/01/02","10:00","3.909","-","4.16"
"2024/01/02","11:00","3.835","-","4.1"
"2024/01/02","12:00","3.58","-","3.77"
"2024/01/02","13:00","3.246","-","3.54"
"2024/01/02","14:00","2.944","-","3.23"
"2024/01/02","15:00","2.768","-","3.04"
"2024/01/02","16:00","2.766","-","3.01"
"2024/01/02","17:00","2.934","-","3.31"
"2024/01/02","18:00","3.211","-","3.58"
"2024/01/02","19:00","3.498","-","3.71"
"2024/01/02","20:00","3.688","-","3.92"
"2024/01/02","21:00","3.694","-","3.92"
"2024/01/02","22:00","3.474","-","3.65"
"2024/01/02","23:00","3.044","-","3.29"
"2024/01/03","00:00","2.479","-","2.61"
