"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2024/01/01","00:00","2.506","-","3.15"
"2024/01/01","01:00","1.543","-","2.19"
"2024/01/01","02:00","0.738","-","1.23"
"2024/01/01","03:00","0.248","-","0.83"
"2024/01/01","04:00","0.162","-","0.64"
"2024/01/01","05:00","0.481","-","0.97"
"2024/01/01","06:00","1.123","-","1.65"
"2024/01/01","07:00","1.946","-","2.43"
"2024/01/01","08:00","2.784","-","3.38"
"2024/01/01","09:00","3.481","-","4.02"
"2024/01/01","10:00","3.924","-","4.5"
"2024/01/01","11:00","4.067","-","4.63"
"2024/01/01","12:00","3.936","-","4.52"
"2024/01/01","13:00","3.626","-","4.25"
"2024/01/01","14:00","3.273","-","3.89"
"2024/01/01","15:00","3.011","-","3.56"
"2024/01/01","16:00","2.935","-","3.51"
"2024/01/01","17:00","3.072","-","3.65"
"2024/01/01","18:00","3.377","-","3.96"
"2024/01/01","19:00","3.749","-","4.31"
"2024/01/01","20:00","4.061","-","4.65"
"2024/01/01","21:00","4.192","-","4.74"
"2024/01/01","22:00","4.06","-","4.57"
"2024/01/01","23:00","3.642","-","4.04"
"2024/01/02","00:00","2.984","-","3.4"
"2024/01/02","01:00","2.199","-","2.62"
"2024/01/02","02:00","1.44","-","1.74"
"2024/01/02","03:00","0.865","-","1.19"
"2024/01/02","04:00","0.593","-","0.92"
"2024/01/02","05:00","0.679","-","0.99"
"2024/01/02","06:00","1.1","-","1.44"
"2024/01/02","07:00","1.767","-","2.09"
"2024/01/02","08:00","2.549","-","2.93"
"2024/01/02","09:00","3.296","-","3.66"
"2024/01/02","10:00","3.873","-","4.33"
"2024/01/02","11:00","4.187","-","4.62"
"2024/01/02","12:00","4.206","-","4.65"
"2024/01/02","13:00","3.972","-","4.41"
"2024/01/02","14:00","3.584","-","4.08"
"2024/01/02","15:00","3.171","-","3.58"
"2024/01/02","16:00","2.857","-","3.26"
"2024/01/02","17:00","2.722","-","3.19"
"2024/01/02","18:00","2.784","-","3.25"
"2024/01/02","19:00","3.002","-","3.38"
"2024/01/02","20:00","3.29","-","3.72"
"2024/01/02","21:00","3.538","-","4.03"
"2024/01/02","22:00","3.643","-","4.12"
"2024/01/02","23:00","3.535","-","3.97"
"2024/01/03","00:00","3.197","-","3.7"
"2024/01/03","01:00","2.676","-","3.2"
"2024/01/03","02:00","2.074","-","2.59"
"2024/01/03","03:00","1.525","-","2.11"
"2024/01/03","04:00","1.158","-","1.6"
"2024/01/03","05:00","1.062","-","1.53"
"2024/01/03","06:00","1.271","-","1.67"
"2024/01/03","07:00","1.751","-","2.13"
"2024/01/03","08:00","2.417","-","2.93"
"2024/01/03","09:00","3.147","-","3.67"
"2024/01/03","10:00","3.803","-","4.26"
"2024/01/03","11:00","4.263","-","4.85"
"2024/01/03","12:00","4.447","-","5.02"
"2024/01/03","13:00","4.338","-","4.9"
"2024/01/03","14:00","3.984","-","4.57"
"2024/01/03","15:00","3.49","-","4.06"
"2024/01/03","16:00","2.983","-","3.47"
"2024/01/03","17:00","2.58","-","3.14"
"2024/01/03","18:00","2.359","-","2.86"
"2024/01/03","19:00","2.342","-","2.8"
"2024/01/03","20:00","2.499","-","2.93"
"2024/01/03","21:00","2.752","-","3.22"
"2024/01/03","22:00","3.002","-","3.34"
"2024/01/03","23:00","3.15","-","3.58"
"2024/01/04","00:00","3.128","-","3.51"
"2024/01/04","01:00","2.916","-","3.32"
"2024/01/04","02:00","2.556","-","2.83"
"2024/01/04","03:00","2.136","-","2.32"
"2024/01/04","04:00","1.771","-","1.93"
"2024/01/04","05:00","1.566","-","1.78"
"2024/01/04","06:00","1.595","-","1.65"
"2024/01/04","07:00","1.882","-","1.98"
"2024/01/04","08:00","2.394","-","2.47"
"2024/01/04","09:00","3.049","-","3.19"
"2024/01/04","10:00","3.727","-","3.9"
"2024/01/04","11:00","4.295","-","4.49"
"2024/01/04","12:00","4.639","-","4.78"
"2024/01/04","13:00","4.688","-","4.81"
"2024/01/04","14:00","4.433","-","4.63"
"2024/01/04","15:00","3.935","-","4.13"
"2024/01/04","16:00","3.303","-","3.42"
"2024/01/04","17:00","2.669","-","2.8"
"2024/01/04","18:00","2.155","-","2.28"
"2024/01/04","19:00","1.848","-","1.97"
"2024/01/04","20:00","1.781","-","1.92"
"2024/01/04","21:00","1.929","-","2.1"
"2024/01/04","22:00","2.216","-","2.31"
"2024/01/04","23:00","2.537","-","2.64"
"2024/01/05","00:00","2.788","-","2.91"
"2024/01/05","01:00","2.892","-","2.99"
"2024/01/05","02:00","2.825","-","2.86"
"2024/01/05","03:00","2.617","-","2.63"
"2024/01/05","04:00","2.346","-","2.32"
"2024/01/05","05:00","2.113","-","1.96"
"2024/01/05","06:00","2.015","-","1.85"
"2024/01/05","07:00","2.123","-","2"
"2024/01/05","08:00","2.461","-","2.3"
"2024/01/05","09:00","2.996","-","2.9"
"2024/01/05","10:00","3.643","-","3.6"
"2024/01/05","11:00","4.277","-","4.27"
"2024/01/05","12:00","4.764","-","4.83"
"2024/01/05","13:00","4.989","-","5.05"
"2024/01/05","14:00","4.888","-","4.94"
"2024/01/05","15:00","4.466","-","4.61"
"2024/01/05","16:00","3.793","-","3.83"
"2024/01/05","17:00","2.991","-","3.08"
"2024/01/05","18:00","2.21","-","2.32"
"2024/01/05","19:00","1.589","-","1.74"
"2024/01/05","20:00","1.227","-","1.43"
"2024/01/05","21:00","1.165","-","1.33"
"2024/01/05","22:00","1.373","-","1.51"
"2024/01/05","23:00","1.763","-","1.81"
"2024/01/06","00:00","2.213","-","2.35"
"2024/01/06","01:00","2.603","-","2.77"
"2024/01/06","02:00","2.846","-","2.86"
"2024/01/06","03:00","2.907","-","3"
"2024/01/06","04:00","2.811","-","2.75"
"2024/01/06","05:00","2.631","-","2.54"
"2024/01/06","06:00","2.47","-","2.42"
"2024/01/06","07:00","2.431","-","2.33"
"2024/01/06","08:00","2.59","-","2.6"
"2024/01/06","09:00","2.972","-","3"
"2024/01/06","10:00","3.538","-","3.51"
"2024/01/06","11:00","4.191","-","4.31"
"2024/01/06","12:00","4.794","-","4.92"
"2024/01/06","13:00","5.202","-","5.36"
"2024/01/06","14:00","5.301","-","5.54"
"2024/01/06","15:00","5.033","-","5.31"
"2024/01/06","16:00","4.415","-","4.6"
"2024/01/06","17:00","3.537","-","3.62"
"2024/01/06","18:00","2.549","-","2.81"
"2024/01/06","19:00","1.624","-","1.83"
"2024/01/06","20:00","0.924","-","1.26"
"2024/01/06","21:00","0.561","-","0.88"
"2024/01/06","22:00","0.569","-","0.88"
"2024/01/06","23:00","0.903","-","1.21"
"2024/01/07","00:00","1.449","-","1.78"
"2024/01/07","01:00","2.062","-","2.44"
"2024/01/07","02:00","2.599","-","2.93"
"2024/01/07","03:00","2.96","-","3.2"
"2024/01/07","04:00","3.104","-","3.32"
"2024/01/07","05:00","3.058","-","3.37"
"2024/01/07","06:00","2.908","-","3.22"
"2024/01/07","07:00","2.769","-","3"
"2024/01/07","08:00","2.76","-","2.91"
"2024/01/07","09:00","2.964","-","3.18"
"2024/01/07","10:00","3.4","-","3.59"
"2024/01/07","11:00","4.016","-","4.21"
"2024/01/07","12:00","4.694","-","4.92"
"2024/01/07","13:00","5.277","-","5.53"
"2024/01/07","14:00","5.608","-","5.83"
"2024/01/07","15:00","5.568","-","5.77"
"2024/01/07","16:00","5.108","-","5.41"
"2024/01/07","17:00","4.268","-","4.51"
"2024/01/07","18:00","3.168","-","3.35"
"2024/01/07","19:00","1.995","-","2.24"
"2024/01/07","20:00","0.953","-","1.25"
"2024/01/07","21:00","0.223","-","0.5"
"2024/01/07","22:00","-0.081","-","0.16"
"2024/01/07","23:00","0.059","-","0.24"
"2024/01/08","00:00","0.569","-","0.82"
"2024/01/08","01:00","1.303","-","1.51"
"2024/01/08","02:00","2.083","-","2.15"
"2024/01/08","03:00","2.744","-","2.87"
"2024/01/08","04:00","3.175","-","3.2"
"2024/01/08","05:00","3.339","-","3.4"
"2024/01/08","06:00","3.279","-","3.26"
"2024/01/08","07:00","3.106","-","3.03"
"2024/01/08","08:00","2.961","-","2.97"
"2024/01/08","09:00","2.976","-","2.91"
"2024/01/08","10:00","3.236","-","3.2"
"2024/01/08","11:00","3.749","-","3.68"
"2024/01/08","12:00","4.438","-","4.34"
"2024/01/08","13:00","5.158","-","5.12"
"2024/01/08","14:00","5.727","-","5.68"
"2024/01/08","15:00","5.973","-","5.91"
"2024/01/08","16:00","5.775","-","5.72"
"2024/01/08","17:00","5.101","-","5.07"
"2024/01/08","18:00","4.023","-","3.9"
"2024/01/08","19:00","2.705","-","2.58"
"2024/01/08","20:00","1.372","-","1.32"
"2024/01/08","21:00","0.259","-","0.18"
"2024/01/08","22:00","-0.444","-","-0.59"
"2024/01/08","23:00","-0.633","-","-0.76"
"2024/01/09","00:00","-0.314","-","-0.37"
"2024/01/09","01:00","0.4","-","0.34"
