"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2023/01/01","00:00","3.152","-","3.48"
"2023/01/01","01:00","3.354","-","3.78"
"2023/01/01","02:00","3.245","-","3.72"
"2023/01/01","03:00","2.906","-","3.36"
"2023/01/01","04:00","2.439","-","3.06"
"2023/01/01","05:00","1.976","-","2.72"
"2023/01/01","06:00","1.694","-","2.44"
"2023/01/01","07:00","1.745","-","2.56"
"2023/01/01","08:00","2.163","-","3.05"
"2023/01/01","09:00","2.883","-","3.72"
"2023/01/01","10:00","3.79","-","4.67"
"2023/01/01","11:00","4.722","-","5.61"
"2023/01/01","12:00","5.445","-","6.1"
"2023/01/01","13:00","5.745","-","6.33"
"2023/01/01","14:00","5.54","-","6.13"
"2023/01/01","15:00","4.893","-","5.49"
"2023/01/01","16:00","3.923","-","4.61"
"2023/01/01","17:00","2.78","-","3.56"
"2023/01/01","18:00","1.679","-","2.42"
"2023/01/01","19:00","0.854","-","1.53"
"2023/01/01","20:00","0.446","-","1.12"
"2023/01/01","21:00","0.471","-","1.14"
"2023/01/01","22:00","0.884","-","1.43"
"2023/01/01","23:00","1.582","-","2.05"
"2023/01/02","00:00","2.371","-","2.82"
"2023/01/02","01:00","3.007","-","3.5"
"2023/01/02","02:00","3.332","-","3.85"
"2023/01/02","03:00","3.334","-","3.83"
"2023/01/02","04:00","3.082","-","3.55"
"2023/01/02","05:00","2.671","-","3.09"
"2023/01/02","06:00","2.253","-","2.73"
"2023/01/02","07:00","2.03","-","2.65"
"2023/01/02","08:00","2.144","-","2.71"
"2023/01/02","09:00","2.607","-","3.1"
"2023/01/02","10:00","3.354","-","3.83"
"2023/01/02","11:00","4.274","-","4.67"
"2023/01/02","12:00","5.178","-","5.48"
"2023/01/02","13:00","5.808","-","6.1"
"2023/01/02","14:00","5.957","-","6.23"
"2023/01/02","15:00","5.575","-","5.91"
"2023/01/02","16:00","4.739","-","5.12"
"2023/01/02","17:00","3.576","-","3.98"
"2023/01/02","18:00","2.273","-","2.76"
"2023/01/02","19:00","1.086","-","1.54"
"2023/01/02","20:00","0.255","-","0.66"
"2023/01/02","21:00","-0.099","-","0.29"
"2023/01/02","22:00","0.033","-","0.28"
"2023/01/02","23:00","0.597","-","0.86"
"2023/01/03","00:00","1.458","-","1.81"
"2023/01/03","01:00","2.37","-","2.73"
"2023/01/03","02:00","3.079","-","3.35"
"2023/01/03","03:00","3.443","-","3.86"
"2023/01/03","04:00","3.462","-","4"
"2023/01/03","05:00","3.205","-","3.62"
"2023/01/03","06:00","2.793","-","3.18"
"2023/01/03","07:00","2.412","-","3.12"
"2023/01/03","08:00","2.263","-","2.79"
"2023/01/03","09:00","2.46","-","2.83"
"2023/01/03","10:00","2.999","-","3.46"
"2023/01/03","11:00","3.806","-","4.22"
"2023/01/03","12:00","4.744","-","5.16"
"2023/01/03","13:00","5.587","-","5.87"
"2023/01/03","14:00","6.071","-","6.34"
"2023/01/03","15:00","6.023","-","6.46"
"2023/01/03","16:00","5.425","-","5.81"
"2023/01/03","17:00","4.376","-","4.74"
"2023/01/03","18:00","3.042","-","3.6"
"2023/01/03","19:00","1.653","-","2.31"
"2023/01/03","20:00","0.481","-","1.04"
"2023/01/03","21:00","-0.257","-","0.19"
"2023/01/03","22:00","-0.46","-","0"
"2023/01/03","23:00","-0.137","-","0.36"
"2023/01/04","00:00","0.619","-","1.1"
"2023/01/04","01:00","1.617","-","2.04"
"2023/01/04","02:00","2.588","-","3.08"
"2023/01/04","03:00","3.286","-","3.83"
"2023/01/04","04:00","3.596","-","4.13"
"2023/01/04","05:00","3.54","-","4.01"
"2023/01/04","06:00","3.22","-","3.73"
"2023/01/04","07:00","2.796","-","3.33"
"2023/01/04","08:00","2.465","-","2.99"
"2023/01/04","09:00","2.411","-","2.89"
"2023/01/04","10:00","2.723","-","3.2"
"2023/01/04","11:00","3.374","-","3.85"
"2023/01/04","12:00","4.254","-","4.64"
"2023/01/04","13:00","5.183","-","5.52"
"2023/01/04","14:00","5.917","-","6.27"
"2023/01/04","15:00","6.21","-","6.64"
"2023/01/04","16:00","5.924","-","6.33"
"2023/01/04","17:00","5.084","-","5.53"
"2023/01/04","18:00","3.838","-","4.36"
"2023/01/04","19:00","2.397","-","2.89"
"2023/01/04","20:00","1.011","-","1.41"
"2023/01/04","21:00","-0.058","-","0.33"
"2023/01/04","22:00","-0.611","-","-0.26"
"2023/01/04","23:00","-0.582","-","-0.26"
"2023/01/05","00:00","-0.028","-","0.38"
"2023/01/05","01:00","0.9","-","1.38"
"2023/01/05","02:00","1.976","-","2.35"
"2023/01/05","03:00","2.926","-","3.25"
"2023/01/05","04:00","3.525","-","3.92"
"2023/01/05","05:00","3.696","-","4.12"
"2023/01/05","06:00","3.512","-","3.9"
"2023/01/05","07:00","3.122","-","3.48"
"2023/01/05","08:00","2.701","-","3.12"
"2023/01/05","09:00","2.444","-","2.86"
"2023/01/05","10:00","2.518","-","2.96"
"2023/01/05","11:00","2.984","-","3.45"
"2023/01/05","12:00","3.763","-","4.11"
"2023/01/05","13:00","4.694","-","5.07"
"2023/01/05","14:00","5.57","-","5.99"
"2023/01/05","15:00","6.147","-","6.56"
"2023/01/05","16:00","6.204","-","6.78"
"2023/01/05","17:00","5.65","-","6.12"
"2023/01/05","18:00","4.579","-","5.12"
"2023/01/05","19:00","3.193","-","3.72"
"2023/01/05","20:00","1.723","-","2.31"
"2023/01/05","21:00","0.42","-","0.87"
"2023/01/05","22:00","-0.461","-","-0.15"
"2023/01/05","23:00","-0.755","-","-0.47"
"2023/01/06","00:00","-0.456","-","-0.09"
"2023/01/06","01:00","0.311","-","0.71"
"2023/01/06","02:00","1.355","-","1.69"
"2023/01/06","03:00","2.435","-","2.7"
"2023/01/06","04:00","3.279","-","3.53"
"2023/01/06","05:00","3.699","-","3.98"
"2023/01/06","06:00","3.687","-","3.95"
"2023/01/06","07:00","3.376","-","3.56"
"2023/01/06","08:00","2.938","-","3.17"
"2023/01/06","09:00","2.549","-","2.86"
"2023/01/06","10:00","2.404","-","2.75"
"2023/01/06","11:00","2.649","-","2.87"
"2023/01/06","12:00","3.285","-","3.6"
"2023/01/06","13:00","4.17","-","4.56"
"2023/01/06","14:00","5.106","-","5.49"
"2023/01/06","15:00","5.878","-","6.12"
"2023/01/06","16:00","6.247","-","6.37"
"2023/01/06","17:00","6.028","-","6.38"
"2023/01/06","18:00","5.211","-","5.59"
"2023/01/06","19:00","3.961","-","4.27"
"2023/01/06","20:00","2.507","-","2.82"
"2023/01/06","21:00","1.083","-","1.41"
"2023/01/06","22:00","-0.057","-","0.14"
"2023/01/06","23:00","-0.676","-","-0.62"
"2023/01/07","00:00","-0.673","-","-0.51"
"2023/01/07","01:00","-0.121","-","0.16"
"2023/01/07","02:00","0.806","-","1.03"
"2023/01/07","03:00","1.896","-","2.08"
"2023/01/07","04:00","2.895","-","2.99"
"2023/01/07","05:00","3.555","-","3.68"
"2023/01/07","06:00","3.758","-","4.06"
"2023/01/07","07:00","3.573","-","3.83"
"2023/01/07","08:00","3.167","-","3.37"
"2023/01/07","09:00","2.715","-","3.01"
"2023/01/07","10:00","2.402","-","2.86"
"2023/01/07","11:00","2.416","-","2.82"
"2023/01/07","12:00","2.852","-","3.15"
"2023/01/07","13:00","3.633","-","3.95"
"2023/01/07","14:00","4.571","-","4.89"
"2023/01/07","15:00","5.454","-","5.66"
"2023/01/07","16:00","6.06","-","6.28"
"2023/01/07","17:00","6.171","-","6.46"
"2023/01/07","18:00","5.673","-","5.96"
"2023/01/07","19:00","4.64","-","4.97"
"2023/01/07","20:00","3.281","-","3.63"
"2023/01/07","21:00","1.834","-","2.16"
"2023/01/07","22:00","0.537","-","0.81"
"2023/01/07","23:00","-0.362","-","-0.18"
"2023/01/08","00:00","-0.677","-","-0.47"
"2023/01/08","01:00","-0.39","-","-0.1"
"2023/01/08","02:00","0.365","-","0.63"
"2023/01/08","03:00","1.383","-","1.52"
"2023/01/08","04:00","2.436","-","2.57"
"2023/01/08","05:00","3.277","-","3.37"
"2023/01/08","06:00","3.714","-","3.9"
"2023/01/08","07:00","3.712","-","3.95"
"2023/01/08","08:00","3.392","-","3.56"
"2023/01/08","09:00","2.932","-","3.09"
"2023/01/08","10:00","2.517","-","2.77"
"2023/01/08","11:00","2.331","-","2.67"
"2023/01/08","12:00","2.526","-","2.87"
"2023/01/08","13:00","3.126","-","3.42"
"2023/01/08","14:00","3.996","-","4.28"
"2023/01/08","15:00","4.921","-","5.24"
"2023/01/08","16:00","5.678","-","5.93"
"2023/01/08","17:00","6.055","-","6.34"
"2023/01/08","18:00","5.891","-","6.2"
"2023/01/08","19:00","5.153","-","5.43"
"2023/01/08","20:00","3.976","-","4.29"
"2023/01/08","21:00","2.588","-","2.84"
"2023/01/08","22:00","1.233","-","1.42"
"2023/01/08","23:00","0.148","-","0.37"
"2023/01/09","00:00","-0.457","-","-0.21"
"2023/01/09","01:00","-0.471","-","-0.22"
"2023/01/09","02:00","0.058","-","0.34"
"2023/01/09","03:00","0.948","-","1.14"
"2023/01/09","04:00","1.974","-","2.13"
"2023/01/09","05:00","2.908","-","3.09"
"2023/01/09","06:00","3.546","-","3.72"
"2023/01/09","07:00","3.769","-","3.87"
"2023/01/09","08:00","3.602","-","3.77"
"2023/01/09","09:00","3.192","-","3.43"
"2023/01/09","10:00","2.732","-","2.95"
"2023/01/09","11:00","2.406","-","2.67"
"2023/01/09","12:00","2.372","-","2.69"
"2023/01/09","13:00","2.725","-","3.13"
"2023/01/09","14:00","3.43","-","3.73"
"2023/01/09","15:00","4.314","-","4.56"
"2023/01/09","16:00","5.143","-","5.38"
"2023/01/09","17:00","5.701","-","5.88"
"2023/01/09","18:00","5.823","-","6.01"
"2023/01/09","19:00","5.417","-","5.57"
"2023/01/09","20:00","4.51","-","4.71"
"2023/01/09","21:00","3.271","-","3.53"
"2023/01/09","22:00","1.947","-","2.14"
"2023/01/09","23:00","0.778","-","0.98"
"2023/01/10","00:00","-0.033","-","0.2"
"2023/01/10","01:00","-0.335","-","-0.13"
"2023/01/10","02:00","-0.08","-","0.21"
"2023/01/10","03:00","0.627","-","0.98"
"2023/01/10","04:00","1.57","-","1.79"
"2023/01/10","05:00","2.519","-","2.7"
"2023/01/10","06:00","3.284","-","3.52"
"2023/01/10","07:00","3.721","-","4.02"
"2023/01/10","08:00","3.763","-","4"
"2023/01/10","09:00","3.473","-","3.7"
"2023/01/10","10:00","3.026","-","3.26"
"2023/01/10","11:00","2.619","-","2.94"
"2023/01/10","12:00","2.406","-","2.76"
"2023/01/10","13:00","2.501","-","2.96"
"2023/01/10","14:00","2.953","-","3.41"
"2023/01/10","15:00","3.687","-","4.1"
"2023/01/10","16:00","4.497","-","4.9"
"2023/01/10","17:00","5.152","-","5.58"
"2023/01/10","18:00","5.479","-","5.96"
"2023/01/10","19:00","5.375","-","5.84"
"2023/01/10","20:00","4.794","-","5.2"
"2023/01/10","21:00","3.803","-","4.23"
"2023/01/10","22:00","2.602","-","3.07"
"2023/01/10","23:00","1.443","-","1.77"
"2023/01/11","00:00","0.531","-","0.84"
"2023/01/11","01:00","0.014","-","0.44"
"2023/01/11","02:00","-0.009","-","0.39"
"2023/01/11","03:00","0.459","-","0.9"
"2023/01/11","04:00","1.264","-","1.58"
"2023/01/11","05:00","2.174","-","2.36"
"2023/01/11","06:00","2.992","-","3.21"
"2023/01/11","07:00","3.582","-","3.79"
"2023/01/11","08:00","3.843","-","4.04"
"2023/01/11","09:00","3.74","-","3.91"
"2023/01/11","10:00","3.375","-","3.62"
"2023/01/11","11:00","2.94","-","3.15"
"2023/01/11","12:00","2.605","-","2.87"
"2023/01/11","13:00","2.48","-","2.77"
"2023/01/11","14:00","2.646","-","2.91"
"2023/01/11","15:00","3.123","-","3.4"
"2023/01/11","16:00","3.797","-","4.03"
"2023/01/11","17:00","4.454","-","4.64"
"2023/01/11","18:00","4.902","-","5.11"
