"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2024/01/01","00:00","1.574","-","2.07"
"2024/01/01","01:00","0.758","-","1.39"
"2024/01/01","02:00","0.243","-","0.83"
"2024/01/01","03:00","0.127","-","0.67"
"2024/01/01","04:00","0.403","-","0.94"
"2024/01/01","05:00","0.991","-","1.44"
"2024/01/01","06:00","1.757","-","2.16"
"2024/01/01","07:00","2.535","-","2.84"
"2024/01/01","08:00","3.181","-","3.61"
"2024/01/01","09:00","3.589","-","4.02"
"2024/01/01","10:00","3.706","-","4.19"
"2024/01/01","11:00","3.573","-","4.04"
"2024/01/01","12:00","3.305","-","3.74"
"2024/01/01","13:00","3.01","-","3.53"
"2024/01/01","14:00","2.804","-","3.39"
"2024/01/01","15:00","2.789","-","3.43"
"2024/01/01","16:00","2.979","-","3.73"
"2024/01/01","17:00","3.313","-","3.82"
"2024/01/01","18:00","3.702","-","4.17"
"2024/01/01","19:00","4.025","-","4.59"
"2024/01/01","20:00","4.158","-","4.78"
"2024/01/01","21:00","4.028","-","4.37"
"2024/01/01","22:00","3.606","-","4.14"
"2024/01/01","23:00","2.942","-","3.29"
"2024/01/02","00:00","2.168","-","2.42"
"2024/01/02","01:00","1.423","-","1.83"
"2024/01/02","02:00","0.84","-","1.3"
"2024/01/02","03:00","0.55","-","1"
"2024/01/02","04:00","0.611","-","1.04"
"2024/01/02","05:00","0.98","-","1.34"
"2024/01/02","06:00","1.58","-","1.86"
"2024/01/02","07:00","2.3","-","2.6"
"2024/01/02","08:00","2.989","-","3.35"
"2024/01/02","09:00","3.523","-","3.91"
"2024/01/02","10:00","3.819","-","4.13"
"2024/01/02","11:00","3.848","-","4.15"
"2024/01/02","12:00","3.661","-","4.06"
"2024/01/02","13:00","3.349","-","3.85"
"2024/01/02","14:00","3.011","-","3.47"
"2024/01/02","15:00","2.759","-","3.09"
"2024/01/02","16:00","2.678","-","2.95"
"2024/01/02","17:00","2.762","-","3.18"
"2024/01/02","18:00","2.968","-","3.37"
"2024/01/02","19:00","3.236","-","3.56"
"2024/01/02","20:00","3.464","-","3.8"
"2024/01/02","21:00","3.543","-","3.86"
"2024/01/02","22:00","3.419","-","3.59"
"2024/01/02","23:00","3.079","-","3.28"
"2024/01/03","00:00","2.569","-","3.07"
"2024/01/03","01:00","1.991","-","2.46"
"2024/01/03","02:00","1.46","-","1.91"
"2024/01/03","03:00","1.089","-","1.12"
"2024/01/03","04:00","0.98","-","1.29"
"2024/01/03","05:00","1.152","-","1.43"
"2024/01/03","06:00","1.563","-","1.79"
"2024/01/03","07:00","2.158","-","2.4"
"2024/01/03","08:00","2.831","-","3.06"
"2024/01/03","09:00","3.439","-","3.68"
"2024/01/03","10:00","3.875","-","4.25"
"2024/01/03","11:00","4.081","-","4.57"
"2024/01/03","12:00","4.029","-","4.53"
"2024/01/03","13:00","3.761","-","4.44"
"2024/01/03","14:00","3.363","-","3.97"
"2024/01/03","15:00","2.936","-","3.45"
"2024/01/03","16:00","2.587","-","3.07"
"2024/01/03","17:00","2.387","-","2.94"
"2024/01/03","18:00","2.343","-","2.66"
"2024/01/03","19:00","2.448","-","2.98"
"2024/01/03","20:00","2.654","-","3.16"
"2024/01/03","21:00","2.856","-","3.44"
"2024/01/03","22:00","2.961","-","3.4"
"2024/01/03","23:00","2.929","-","3.28"
"2024/01/04","00:00","2.734","-","3.29"
"2024/01/04","01:00","2.399","-","2.85"
"2024/01/04","02:00","2.009","-","2.29"
"2024/01/04","03:00","1.663","-","1.91"
"2024/01/04","04:00","1.454","-","1.76"
"2024/01/04","05:00","1.457","-","1.61"
"2024/01/04","06:00","1.688","-","1.69"
"2024/01/04","07:00","2.124","-","2.32"
"2024/01/04","08:00","2.717","-","2.8"
"2024/01/04","09:00","3.35","-","3.61"
"2024/01/04","10:00","3.891","-","4.08"
"2024/01/04","11:00","4.254","-","4.47"
"2024/01/04","12:00","4.374","-","4.56"
