"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2023/01/01","00:00","2.818","-","3.2"
"2023/01/01","01:00","3.079","-","3.52"
"2023/01/01","02:00","3.059","-","3.55"
"2023/01/01","03:00","2.799","-","3.26"
"2023/01/01","04:00","2.395","-","2.9"
"2023/01/01","05:00","1.984","-","2.67"
"2023/01/01","06:00","1.718","-","2.56"
"2023/01/01","07:00","1.732","-","2.53"
"2023/01/01","08:00","2.087","-","3.26"
"2023/01/01","09:00","2.748","-","3.63"
"2023/01/01","10:00","3.602","-","4.42"
"2023/01/01","11:00","4.474","-","5.32"
"2023/01/01","12:00","5.157","-","5.81"
"2023/01/01","13:00","5.472","-","6.02"
"2023/01/01","14:00","5.331","-","5.92"
"2023/01/01","15:00","4.751","-","5.44"
"2023/01/01","16:00","3.833","-","4.53"
"2023/01/01","17:00","2.737","-","3.36"
"2023/01/01","18:00","1.668","-","2.26"
"2023/01/01","19:00","0.828","-","1.74"
"2023/01/01","20:00","0.357","-","1.23"
"2023/01/01","21:00","0.311","-","0.91"
"2023/01/01","22:00","0.658","-","1.3"
"2023/01/01","23:00","1.287","-","1.88"
"2023/01/02","00:00","2.017","-","2.44"
"2023/01/02","01:00","2.654","-","3.14"
"2023/01/02","02:00","3.055","-","3.65"
"2023/01/02","03:00","3.161","-","3.58"
"2023/01/02","04:00","2.993","-","3.3"
"2023/01/02","05:00","2.646","-","2.99"
"2023/01/02","06:00","2.278","-","2.61"
"2023/01/02","07:00","2.064","-","2.52"
"2023/01/02","08:00","2.13","-","2.66"
"2023/01/02","09:00","2.526","-","2.88"
"2023/01/02","10:00","3.215","-","3.73"
"2023/01/02","11:00","4.076","-","4.47"
"2023/01/02","12:00","4.912","-","5.31"
"2023/01/02","13:00","5.505","-","5.78"
"2023/01/02","14:00","5.687","-","5.93"
"2023/01/02","15:00","5.383","-","5.53"
"2023/01/02","16:00","4.614","-","4.8"
"2023/01/02","17:00","3.5","-","3.73"
"2023/01/02","18:00","2.245","-","2.51"
"2023/01/02","19:00","1.088","-","1.37"
"2023/01/02","20:00","0.232","-","0.54"
"2023/01/02","21:00","-0.19","-","0.06"
"2023/01/02","22:00","-0.131","-","0.19"
"2023/01/02","23:00","0.361","-","0.73"
"2023/01/03","00:00","1.138","-","1.51"
"2023/01/03","01:00","1.992","-","2.28"
"2023/01/03","02:00","2.722","-","2.86"
"2023/01/03","03:00","3.183","-","3.44"
"2023/01/03","04:00","3.31","-","3.52"
"2023/01/03","05:00","3.134","-","3.27"
"2023/01/03","06:00","2.785","-","3.01"
"2023/01/03","07:00","2.449","-","2.58"
"2023/01/03","08:00","2.295","-","2.46"
"2023/01/03","09:00","2.434","-","2.78"
"2023/01/03","10:00","2.904","-","3.17"
"2023/01/03","11:00","3.651","-","3.87"
"2023/01/03","12:00","4.522","-","4.7"
"2023/01/03","13:00","5.299","-","5.47"
"2023/01/03","14:00","5.768","-","6.02"
"2023/01/03","15:00","5.776","-","5.88"
"2023/01/03","16:00","5.26","-","5.39"
"2023/01/03","17:00","4.271","-","4.62"
"2023/01/03","18:00","2.984","-","3.21"
"2023/01/03","19:00","1.643","-","1.81"
"2023/01/03","20:00","0.491","-","0.71"
"2023/01/03","21:00","-0.283","-","-0.03"
"2023/01/03","22:00","-0.558","-","-0.32"
"2023/01/03","23:00","-0.314","-","-0.18"
"2023/01/04","00:00","0.357","-","0.48"
"2023/01/04","01:00","1.268","-","1.56"
"2023/01/04","02:00","2.198","-","2.52"
"2023/01/04","03:00","2.944","-","3.14"
"2023/01/04","04:00","3.362","-","3.42"
"2023/01/04","05:00","3.41","-","3.67"
"2023/01/04","06:00","3.167","-","3.31"
"2023/01/04","07:00","2.804","-","3.11"
"2023/01/04","08:00","2.507","-","2.74"
"2023/01/04","09:00","2.433","-","2.68"
"2023/01/04","10:00","2.679","-","2.88"
"2023/01/04","11:00","3.257","-","3.48"
"2023/01/04","12:00","4.072","-","4.27"
"2023/01/04","13:00","4.933","-","5.19"
"2023/01/04","14:00","5.62","-","5.8"
"2023/01/04","15:00","5.925","-","6.07"
"2023/01/04","16:00","5.71","-","5.96"
"2023/01/04","17:00","4.949","-","5.22"
"2023/01/04","18:00","3.758","-","4.07"
"2023/01/04","19:00","2.362","-","2.59"
"2023/01/04","20:00","1.017","-","1.33"
"2023/01/04","21:00","-0.044","-","0.25"
"2023/01/04","22:00","-0.645","-","-0.41"
"2023/01/04","23:00","-0.698","-","-0.31"
