Date,Time (GMT),Predicted (ft),Verified (ft)
1/1/2023,0:00,2.818,3.2
1/1/2023,1:00,3.079,3.52
1/1/2023,2:00,3.059,3.55
1/1/2023,3:00,2.799,3.26
1/1/2023,4:00,2.395,2.9
1/1/2023,5:00,1.984,2.67
1/1/2023,6:00,1.718,2.56
1/1/2023,7:00,1.732,2.53
1/1/2023,8:00,2.087,3.26
1/1/2023,9:00,2.748,3.63
1/1/2023,10:00,3.602,4.42
1/1/2023,11:00,4.474,5.32
1/1/2023,12:00,5.157,5.81
1/1/2023,13:00,5.472,6.02
1/1/2023,14:00,5.331,5.92
1/1/2023,15:00,4.751,5.44
1/1/2023,16:00,3.833,4.53
1/1/2023,17:00,2.737,3.36
1/1/2023,18:00,1.668,2.26
1/1/2023,19:00,0.828,1.74
1/1/2023,20:00,0.357,1.23
1/1/2023,21:00,0.311,0.91
1/1/2023,22:00,0.658,1.3
1/1/2023,23:00,1.287,1.88
1/2/2023,0:00,2.017,2.44
1/2/2023,1:00,2.654,3.14
1/2/2023,2:00,3.055,3.65
1/2/2023,3:00,3.161,3.58
1/2/2023,4:00,2.993,3.3
1/2/2023,5:00,2.646,2.99
1/2/2023,6:00,2.278,2.61
1/2/2023,7:00,2.064,2.52
1/2/2023,8:00,2.13,2.66
1/2/2023,9:00,2.526,2.88
1/2/2023,10:00,3.215,3.73
1/2/2023,11:00,4.076,4.47
1/2/2023,12:00,4.912,5.31
1/2/2023,13:00,5.505,5.78
1/2/2023,14:00,5.687,5.93
1/2/2023,15:00,5.383,5.53
1/2/2023,16:00,4.614,4.8
1/2/2023,17:00,3.5,3.73
1/2/2023,18:00,2.245,2.51
1/2/2023,19:00,1.088,1.37
1/2/2023,20:00,0.232,0.54
1/2/2023,21:00,-0.19,0.06
1/2/2023,22:00,-0.131,0.19
1/2/2023,23:00,0.361,0.73
1/3/2023,0:00,1.138,1.51
1/3/2023,1:00,1.992,2.28
1/3/2023,2:00,2.722,2.86
1/3/2023,3:00,3.183,3.44
1/3/2023,4:00,3.31,3.52
1/3/2023,5:00,3.134,3.27
1/3/2023,6:00,2.785,3.01
1/3/2023,7:00,2.449,2.58
1/3/2023,8:00,2.295,2.46
1/3/2023,9:00,2.434,2.78
1/3/2023,10:00,2.904,3.17
1/3/2023,11:00,3.651,3.87
1/3/2023,12:00,4.522,4.7
1/3/2023,13:00,5.299,5.47
1/3/2023,14:00,5.768,6.02
1/3/2023,15:00,5.776,5.88
1/3/2023,16:00,5.26,5.39
1/3/2023,17:00,4.271,4.62
1/3/2023,18:00,2.984,3.21
1/3/2023,19:00,1.643,1.81
1/3/2023,20:00,0.491,0.71
1/3/2023,21:00,-0.283,-0.03
1/3/2023,22:00,-0.558,-0.32
1/3/2023,23:00,-0.314,-0.18
1/4/2023,0:00,0.357,0.48
1/4/2023,1:00,1.268,1.56
1/4/2023,2:00,2.198,2.52
1/4/2023,3:00,2.944,3.14
1/4/2023,4:00,3.362,3.42
1/4/2023,5:00,3.41,3.67
1/4/2023,6:00,3.167,3.31
