Date,Time (GMT),Predicted (ft),Verified (ft)
4/1/2024,0:00,2.571,2.93
4/1/2024,1:00,2.67,3
4/1/2024,2:00,2.813,3.16
4/1/2024,3:00,3.035,3.45
4/1/2024,4:00,3.344,3.72
4/1/2024,5:00,3.715,4.02
4/1/2024,6:00,4.096,4.46
4/1/2024,7:00,4.419,4.81
4/1/2024,8:00,4.612,4.98
4/1/2024,9:00,4.619,4.97
4/1/2024,10:00,4.406,4.7
4/1/2024,11:00,3.975,4.18
4/1/2024,12:00,3.361,3.53
4/1/2024,13:00,2.633,2.74
4/1/2024,14:00,1.879,2
4/1/2024,15:00,1.198,1.36
4/1/2024,16:00,0.678,0.81
4/1/2024,17:00,0.383,0.58
4/1/2024,18:00,0.341,0.48
4/1/2024,19:00,0.535,0.73
4/1/2024,20:00,0.914,1.15
4/1/2024,21:00,1.399,1.68
4/1/2024,22:00,1.904,2.12
4/1/2024,23:00,2.353,2.51
