Date,Time (GMT),Predicted (ft),Verified (ft)
4/1/2024,0:00,2.581,2.83
4/1/2024,1:00,2.674,3.01
4/1/2024,2:00,2.78,3.05
4/1/2024,3:00,2.943,3.29
4/1/2024,4:00,3.196,3.41
4/1/2024,5:00,3.532,3.8
4/1/2024,6:00,3.897,4.1
4/1/2024,7:00,4.247,4.6
4/1/2024,8:00,4.526,4.88
4/1/2024,9:00,4.641,4.8
4/1/2024,10:00,4.535,4.76
4/1/2024,11:00,4.202,4.44
4/1/2024,12:00,3.651,3.87
4/1/2024,13:00,2.932,2.99
4/1/2024,14:00,2.141,2.21
4/1/2024,15:00,1.38,1.53
4/1/2024,16:00,0.747,0.85
4/1/2024,17:00,0.332,0.47
4/1/2024,18:00,0.172,0.27
4/1/2024,19:00,0.279,0.33
4/1/2024,20:00,0.634,0.85
4/1/2024,21:00,1.142,1.27
4/1/2024,22:00,1.69,1.8
4/1/2024,23:00,2.199,2.3
