Date,Time (GMT),Predicted (ft),Verified (ft)
4/1/2024,0:00,2.462,2.83
4/1/2024,1:00,2.549,2.92
4/1/2024,2:00,2.688,3.02
4/1/2024,3:00,2.923,3.25
4/1/2024,4:00,3.25,3.59
4/1/2024,5:00,3.626,3.96
4/1/2024,6:00,3.999,4.35
4/1/2024,7:00,4.317,4.66
4/1/2024,8:00,4.518,4.86
4/1/2024,9:00,4.536,4.92
4/1/2024,10:00,4.335,4.67
4/1/2024,11:00,3.917,4.18
4/1/2024,12:00,3.311,3.53
4/1/2024,13:00,2.582,2.75
4/1/2024,14:00,1.829,2.01
4/1/2024,15:00,1.157,1.35
4/1/2024,16:00,0.648,0.73
4/1/2024,17:00,0.347,0.56
4/1/2024,18:00,0.283,0.48
4/1/2024,19:00,0.458,0.63
4/1/2024,20:00,0.826,1.03
4/1/2024,21:00,1.304,1.51
4/1/2024,22:00,1.802,1.98
4/1/2024,23:00,2.247,2.36
